Kota Inflasi,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,4.13,4.13,4.13,4.13
KOTA MAKASSAR,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.76,7.14,7.14,7.14,7.14
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PALOPO,-3.40,-3.79,-3.79,-3.79,-3.79,-3.79,-3.79,-3.26,-3.26,-3.26,-3.26,-3.26
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77,2.77,2.77,2.77,2.77
KOTA BAU-BAU,1.56,1.56,1.56,1.56,1.56,1.56,3.31,3.31,3.31,3.31,3.31,3.31
KOTA GORONTALO,1.97,1.97,1.97,1.97,1.97,1.97,5.33,5.33,5.33,5.33,5.33,5.33
MAMUJU,10.35,10.35,10.35,10.35,10.35,10.35,10.71,11.09,11.17,11.17,11.17,14.25
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.17
KOTA TUAL,0.00,0.00,0.00,0.00,0.00,0.00,1.70,3.48,7.19,7.19,7.19,7.19
KOTA TERNATE,4.31,4.31,4.31,4.31,4.31,4.31,5.48,5.48,5.48,5.48,5.48,5.70
MANOKWARI,0.00,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-17.30,-17.29,-16.58,-16.44,-16.44
KOTA SORONG,0.00,4.24,4.24,4.24,4.24,4.24,4.24,4.24,14.06,14.06,14.06,14.06
MERAUKE,0.02,0.02,0.02,0.02,0.02,0.02,0.30,1.21,1.94,1.94,1.94,1.94
KOTA JAYAPURA,0.12,0.15,0.15,0.15,0.15,0.15,0.65,3.65,5.11,5.26,5.27,5.29
