Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39,0.39,0.39
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SIBOLGA,0.00,0.00,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.07,15.07,15.07,15.07,15.07
KOTA MEDAN,0.00,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64
KOTA PADANGSIDIMPUAN,2.18,4.25,5.27,5.27,5.27,5.27,5.27,5.27,5.27,7.90,7.90,7.90
KOTA PADANG,16.72,16.87,16.87,16.87,16.87,19.21,19.21,19.21,14.58,14.58,14.58,14.58
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.96,0.96,0.96,0.96,0.96,0.96,0.96
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEKANBARU,0.01,0.01,0.21,0.37,0.37,0.37,0.37,2.17,2.17,2.17,2.17,2.17
KOTA DUMAI,0.00,1.15,1.15,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60
BUNGO,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.90,5.90,5.90,5.90,5.90
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,3.78,3.78,3.78,3.78,3.78,3.78
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,11.40,11.40,11.40,11.40,11.40,11.40
KOTA LUBUKLINGGAU,0.59,0.59,0.59,0.59,0.59,0.59,1.78,1.87,1.87,1.87,1.87,1.87
KOTA BENGKULU,0.00,0.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
KOTA BANDAR LAMPUNG,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
KOTA METRO,0.89,0.89,0.89,0.89,0.89,12.33,12.33,12.33,12.33,12.33,12.33,12.33
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.28,2.28,2.28,2.28,2.28
KOTA PANGKAL PINANG,1.47,1.47,1.47,1.47,1.47,1.47,1.47,4.88,4.88,4.88,4.88,4.88
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,3.93,3.93,11.90,11.90,14.61,14.61,14.61
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67
DKI JAKARTA,0.00,0.37,0.37,0.37,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04
KOTA BOGOR,1.36,2.39,4.28,6.50,7.15,7.94,7.94,9.78,10.84,10.84,12.26,12.78
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,5.51,10.24,10.24,10.24,10.24,10.24,10.24
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,4.21,6.03,6.03,6.03,6.03,6.03,6.03
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,4.99,8.12,8.12,8.12,8.12,8.12,45.23,45.23,45.23,45.23,45.23,45.23
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,2.83,2.83,2.83,2.83
KOTA TASIKMALAYA,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,10.39,10.39,10.78,10.78
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,7.59,7.59,7.69,7.69,7.69,7.69
PURWOKERTO,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.75,5.75,5.75,5.75,5.75
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,4.31,4.31,4.31,4.31,4.31,4.31
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.74,0.74,0.74
KOTA SEMARANG,0.11,0.11,0.43,0.43,0.43,0.43,0.43,7.52,7.52,7.52,7.52,7.72
KOTA TEGAL,5.98,5.98,5.98,5.98,5.98,5.98,13.45,13.45,13.45,13.45,13.45,13.45
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.21,0.21,0.21
JEMBER,0.00,0.00,0.00,0.83,0.83,0.83,0.83,0.83,0.83,1.02,1.02,1.02
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,2.82,3.99,3.99,10.18,10.18,10.52,11.02
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34,1.34,1.34,1.34,1.34
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20
KOTA MALANG,4.11,4.11,4.11,4.11,4.11,5.36,5.36,5.36,5.36,5.36,6.98,7.69
