Kota Inflasi,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017
KOTA MEULABOH,-0.07,0.15,0.95,1.13,1.47,1.40,1.69,1.58,1.58,2.68,2.94,3.08
KOTA BANDA ACEH,0.00,0.01,-0.04,-0.06,-0.34,-0.34,-0.28,1.61,1.61,1.52,1.51,1.54
KOTA LHOKSEUMAWE,1.04,1.00,1.00,0.96,1.03,1.46,1.72,1.74,1.93,2.16,2.13,2.24
KOTA SIBOLGA,0.10,0.43,0.30,0.23,0.54,0.46,1.00,1.08,1.52,1.53,1.53,1.61
KOTA PEMATANG SIANTAR,0.01,-0.16,-0.12,-0.07,-0.04,-0.02,0.50,0.53,0.64,0.48,0.44,0.69
KOTA MEDAN,0.04,0.05,0.07,0.11,0.11,0.11,0.15,0.29,0.29,0.34,0.39,0.41
KOTA PADANGSIDIMPUAN,0.37,0.37,0.37,0.37,-0.34,0.31,0.65,-0.49,-0.47,-0.47,-0.29,-0.29
KOTA PADANG,0.63,0.84,0.95,0.94,1.16,1.07,4.05,4.48,4.30,4.36,4.42,4.61
KOTA BUKITTINGGI,0.03,0.31,0.32,0.32,0.32,0.41,1.53,1.69,3.18,5.44,5.44,5.46
TEMBILAHAN,0.17,0.82,0.82,0.80,0.75,0.64,3.91,3.91,4.04,5.69,7.32,7.31
KOTA PEKANBARU,0.23,0.23,0.26,0.30,0.31,0.78,1.49,2.23,2.19,2.30,2.30,2.42
KOTA DUMAI,-0.29,-0.23,-0.18,-0.18,-0.20,-0.33,-0.30,-0.03,-0.03,-0.01,-0.03,-0.04
BUNGO,0.96,1.07,1.10,0.97,1.10,1.10,1.14,1.65,1.83,1.84,1.80,1.80
KOTA JAMBI,-0.12,-0.40,0.16,0.05,0.04,0.38,0.36,4.07,4.03,4.01,4.06,4.70
KOTA PALEMBANG,0.28,0.28,0.31,0.30,0.30,0.31,0.48,3.27,3.32,3.35,3.40,3.45
KOTA LUBUKLINGGAU,0.01,0.08,0.17,0.07,0.17,0.20,0.22,0.35,0.37,1.92,2.11,2.12
KOTA BENGKULU,0.93,0.85,0.72,0.73,0.80,0.85,0.85,3.85,3.88,3.87,3.90,4.03
KOTA BANDAR LAMPUNG,-0.17,-0.17,-0.24,-0.24,-0.29,-0.27,0.91,0.91,6.54,6.55,6.59,6.59
KOTA METRO,-0.01,-0.06,-0.07,0.01,-0.12,-0.17,0.32,4.15,4.51,4.97,4.92,4.86
TANJUNG PANDAN,0.07,0.39,1.46,1.87,2.14,2.75,2.75,3.13,3.45,3.60,3.58,3.58
KOTA PANGKAL PINANG,-0.36,-0.28,0.16,0.14,0.18,0.18,0.40,2.06,3.21,3.21,3.21,3.21
KOTA BATAM,-0.02,0.03,-0.03,0.09,-0.07,-0.02,2.85,3.19,5.96,5.97,5.98,5.98
KOTA TANJUNG PINANG,-0.06,0.01,0.03,0.56,0.55,0.56,3.74,3.81,3.76,3.85,3.74,3.61
DKI JAKARTA,0.03,0.07,0.09,0.15,0.15,0.06,0.65,0.66,0.69,0.76,0.77,0.66
KOTA BOGOR,0.87,1.44,2.07,2.18,2.19,3.53,4.25,4.54,12.44,13.19,14.69,16.44
KOTA SUKABUMI,0.00,-0.12,0.16,0.25,0.25,0.25,2.12,2.40,2.41,2.52,3.41,3.32
KOTA BANDUNG,0.00,0.14,0.14,0.18,0.17,0.17,0.17,2.93,4.22,4.49,5.10,5.33
KOTA CIREBON,0.00,0.00,0.00,0.13,0.17,0.17,1.91,1.89,1.91,1.91,1.97,1.99
KOTA BEKASI,-0.02,-0.03,-0.08,-0.07,-0.01,0.20,0.31,0.40,2.74,2.74,2.76,2.72
KOTA DEPOK,0.03,0.44,0.81,0.81,0.86,0.91,2.01,2.43,2.70,2.70,2.70,2.78
KOTA TASIKMALAYA,0.09,0.26,0.39,0.42,0.25,0.42,0.67,2.46,3.06,3.14,3.20,3.05
CILACAP,0.29,0.37,0.48,0.47,0.61,1.20,1.60,4.21,4.38,4.38,4.38,4.37
PURWOKERTO,0.08,0.10,0.07,0.34,0.34,0.40,0.77,2.57,2.63,2.67,2.64,2.59
KUDUS,0.00,0.04,0.09,0.09,0.09,0.18,0.52,7.22,7.55,7.55,7.50,7.50
KOTA SURAKARTA,0.00,-0.04,0.06,0.27,0.25,0.29,0.49,1.26,1.66,1.64,1.71,1.79
KOTA SEMARANG,0.09,0.03,0.02,0.07,0.08,0.08,2.22,2.95,4.15,4.22,4.22,4.22
KOTA TEGAL,0.03,2.04,2.19,2.26,2.26,2.30,2.32,3.90,4.25,5.41,5.44,5.47
KOTA YOGYAKARTA,-0.05,-0.03,-0.05,-0.05,-0.01,0.00,0.64,1.98,2.54,2.76,2.76,2.81
JEMBER,0.05,0.54,0.56,0.64,0.71,0.71,0.93,2.62,2.68,2.74,2.75,2.75
BANYUWANGI,0.00,0.29,1.20,1.20,1.51,1.62,2.27,3.92,3.92,5.31,5.31,5.34
SUMENEP,0.31,-0.02,0.09,0.28,0.14,0.08,0.07,1.36,1.16,1.17,1.64,1.64
KOTA KEDIRI,0.13,0.48,0.48,0.50,0.44,0.41,0.41,0.41,7.63,7.63,7.68,7.68
KOTA MALANG,0.03,0.23,0.62,0.48,1.58,2.45,2.85,2.85,2.95,2.93,2.98,2.98
KOTA PROBOLINGGO,0.00,-0.74,-0.74,-0.72,-0.82,-0.82,-0.38,0.89,1.32,1.58,1.53,1.73
KOTA MADIUN,1.04,1.36,1.48,1.53,1.53,1.43,2.42,2.42,2.46,3.97,3.97,4.01
KOTA SURABAYA,0.71,0.79,0.91,0.93,1.02,1.06,1.12,3.33,3.37,4.03,4.07,4.44
KOTA TANGERANG,-0.03,0.13,0.36,0.38,0.38,0.36,0.58,1.66,7.39,7.52,7.91,7.91
KOTA CILEGON,-0.01,0.18,0.29,0.03,0.03,0.32,0.10,2.26,2.23,2.27,2.62,2.62
KOTA SERANG,0.00,0.01,0.02,0.06,0.06,0.06,3.27,3.59,3.63,3.80,3.59,3.70
SINGARAJA,0.00,-0.04,-0.12,-0.17,-0.15,-0.07,-0.07,4.37,7.27,7.27,7.33,7.48
KOTA DENPASAR,0.16,0.33,0.37,0.47,0.18,0.30,0.67,1.91,1.88,2.87,2.87,2.89
