Kota Inflasi,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018
KOTA MEULABOH,0.54,0.32,4.74,10.25,10.25,10.17,10.17,11.86,12.19,12.35,9.91,10.94
KOTA BANDA ACEH,0.63,1.03,1.03,1.34,1.40,1.41,4.75,4.94,4.94,5.47,5.47,5.69
KOTA LHOKSEUMAWE,0.00,0.00,0.00,-0.78,-0.78,-0.78,-0.78,-0.47,-0.47,3.34,3.34,5.28
KOTA SIBOLGA,2.57,2.62,2.62,2.62,2.62,2.90,2.90,2.90,2.90,2.93,2.93,2.93
KOTA PEMATANG SIANTAR,1.37,2.16,3.07,3.07,3.62,3.62,3.67,3.67,3.67,5.46,5.46,5.96
KOTA MEDAN,0.05,0.13,0.13,0.15,0.15,0.18,2.07,2.07,2.32,2.97,2.97,2.98
KOTA PADANGSIDIMPUAN,0.55,-2.30,-2.30,-2.30,-3.21,-3.21,-2.21,-2.03,-1.81,-1.81,-1.55,-1.02
KOTA PADANG,0.59,1.58,2.14,2.14,2.58,2.58,2.87,2.96,2.96,2.96,2.62,2.62
KOTA BUKITTINGGI,1.03,1.23,1.33,1.69,2.90,2.90,3.05,3.21,3.90,4.44,4.44,4.44
TEMBILAHAN,0.00,-0.35,-0.35,-0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,1.90
KOTA PEKANBARU,0.60,0.96,1.21,1.53,1.52,1.51,2.84,2.93,3.67,4.36,4.79,4.66
KOTA DUMAI,0.28,0.41,0.41,0.41,0.58,1.99,1.99,2.13,1.51,1.80,1.80,1.80
BUNGO,0.52,1.31,2.81,2.92,4.37,4.37,5.27,5.40,8.95,10.60,11.03,11.22
KOTA JAMBI,-0.96,2.26,2.29,2.53,2.48,2.48,6.16,6.76,6.78,7.05,8.77,11.35
KOTA PALEMBANG,0.78,1.07,1.10,1.36,1.54,1.42,2.06,2.21,2.29,2.29,2.41,2.98
KOTA LUBUKLINGGAU,0.01,0.09,0.34,1.22,1.22,1.63,3.07,3.59,4.08,4.27,4.35,4.33
KOTA BENGKULU,0.81,1.15,1.26,1.26,1.53,1.67,1.72,2.28,2.75,2.75,2.77,2.77
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,3.01,5.17,5.17,5.17,5.17,5.17
KOTA METRO,-0.10,-0.03,0.01,0.76,0.92,1.30,1.41,1.43,1.70,2.27,2.76,3.09
TANJUNG PANDAN,-0.03,-0.03,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.70,0.69,0.80
KOTA PANGKAL PINANG,1.57,2.25,2.25,2.32,2.32,2.48,2.88,5.61,8.26,8.75,10.09,9.72
KOTA BATAM,1.72,0.65,0.65,0.72,0.72,3.66,3.66,3.66,3.66,3.66,3.66,3.66
KOTA TANJUNG PINANG,0.14,0.14,0.08,0.08,0.24,0.24,0.24,0.37,0.84,0.85,0.85,0.85
DKI JAKARTA,-0.05,0.06,0.27,0.16,0.54,0.45,0.57,0.95,1.21,1.39,1.42,1.51
KOTA BOGOR,-0.86,-0.86,-0.86,-1.03,-1.03,-1.03,-0.15,0.77,0.92,0.87,1.19,2.01
KOTA SUKABUMI,-0.25,-0.25,-0.25,-0.21,-0.21,-0.21,-0.21,0.94,1.45,1.45,1.45,1.96
KOTA BANDUNG,0.00,0.44,0.86,0.86,0.86,0.86,2.27,0.82,1.71,1.73,2.25,2.25
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,3.05,3.05,3.08,3.08,3.08,3.08,3.24
KOTA BEKASI,-0.03,2.90,2.91,2.95,2.99,3.23,3.32,3.32,3.32,3.35,3.33,3.41
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,1.79,6.45,6.45,6.34,6.37,6.53
KOTA TASIKMALAYA,0.21,0.47,0.44,0.44,0.44,0.38,0.58,0.58,0.56,0.56,0.56,0.56
CILACAP,0.04,-0.45,-0.30,-0.16,0.03,0.46,1.31,1.15,1.96,2.16,2.35,2.35
PURWOKERTO,1.55,2.02,2.47,2.34,3.95,3.95,4.56,5.71,6.31,6.64,6.48,6.48
KUDUS,1.34,2.38,2.38,2.38,2.38,3.31,3.31,3.31,4.46,4.46,5.29,5.29
KOTA SURAKARTA,-0.13,-0.46,0.29,0.29,0.29,0.38,0.38,0.87,1.98,2.24,2.38,2.60
KOTA SEMARANG,0.46,0.49,0.77,0.77,0.91,0.91,0.91,1.30,2.06,2.57,2.82,3.01
KOTA TEGAL,0.15,1.47,2.06,2.26,2.60,3.67,3.85,4.48,5.60,6.37,6.35,7.16
KOTA YOGYAKARTA,0.45,0.56,0.57,0.79,0.80,1.02,0.36,0.12,0.37,1.07,1.09,1.51
JEMBER,0.97,1.22,1.36,1.36,1.58,1.58,1.58,1.43,1.43,1.43,1.42,2.12
BANYUWANGI,-0.05,0.61,0.63,0.63,0.34,0.59,1.08,3.63,4.23,6.21,5.10,5.31
SUMENEP,0.58,0.61,2.48,3.10,3.15,3.37,3.37,3.49,3.49,3.76,3.76,4.13
KOTA KEDIRI,0.07,0.03,0.03,0.03,0.03,0.03,0.16,0.16,0.16,0.24,0.64,0.64
KOTA MALANG,0.34,0.38,0.45,0.45,0.45,0.82,0.82,0.98,0.99,1.01,1.01,2.58
KOTA PROBOLINGGO,1.87,1.87,1.87,1.94,1.94,1.94,2.42,2.32,2.32,2.35,2.18,2.33
KOTA MADIUN,0.25,0.76,0.44,0.55,1.50,1.50,2.85,2.96,2.98,3.32,3.42,3.61
KOTA SURABAYA,0.07,0.72,0.72,0.85,0.94,1.09,1.83,2.27,3.11,3.25,3.26,3.26
KOTA TANGERANG,2.72,2.72,2.81,2.97,2.97,5.83,5.95,5.95,8.27,8.51,8.51,8.01
KOTA CILEGON,-0.02,0.81,0.90,-0.79,-0.79,-0.79,-0.79,1.01,1.01,1.04,1.66,1.71
KOTA SERANG,-0.01,-0.04,-0.04,0.06,0.69,0.69,2.69,2.61,2.62,2.62,2.65,2.76
SINGARAJA,0.38,0.79,2.20,4.21,5.66,6.57,7.51,7.51,7.51,9.66,9.89,11.54
KOTA DENPASAR,0.70,0.70,1.01,1.00,5.14,5.14,6.15,6.38,8.65,9.19,9.17,9.42
KOTA MATARAM,0.13,0.97,0.97,0.97,1.57,1.92,1.98,1.92,2.06,2.16,2.24,2.24
KOTA BIMA,0.81,1.02,1.06,0.97,1.00,1.26,1.64,2.05,2.32,2.32,3.05,3.85
MAUMERE,-0.14,0.00,0.00,0.00,0.41,0.41,0.41,0.80,0.52,0.65,2.58,2.58
KOTA KUPANG,0.45,0.54,1.09,1.26,1.31,1.62,1.25,1.11,1.21,1.50,1.52,1.78
DILI,0.24,0.64,0.64,0.64,3.21,3.11,2.31,2.84,3.23,3.23,3.38,3.38
KOTA PONTIANAK,1.48,6.08,6.15,6.15,6.15,6.05,5.65,6.23,6.70,6.77,6.77,7.54
KOTA SINGKAWANG,-0.88,0.24,0.48,1.42,1.79,2.16,3.88,4.20,3.47,3.47,6.73,5.93
SAMPIT,1.32,1.32,2.18,2.53,2.56,2.55,2.29,2.94,3.24,3.43,4.10,4.10
KOTA PALANGKA RAYA,0.67,0.88,1.27,1.27,1.29,1.29,2.12,2.22,2.20,2.36,2.22,2.30
TANJUNG,-0.56,-0.56,-0.62,-0.36,-0.84,-0.34,-0.38,1.57,1.57,1.88,3.02,3.52
KOTA BANJARMASIN,0.38,1.03,1.03,1.15,1.74,1.74,1.78,2.17,2.37,2.37,2.37,2.41
KOTA BALIKPAPAN,0.30,0.30,0.47,0.36,1.71,1.64,2.27,4.15,4.14,4.25,5.48,4.98
KOTA SAMARINDA,0.00,0.00,0.10,0.10,0.10,0.10,0.65,1.91,1.91,1.92,1.92,1.92
KOTA TARAKAN,-0.12,-0.12,-0.15,-0.15,-0.15,-0.09,-0.09,0.02,0.02,0.02,0.02,-2.16
KOTA MANADO,0.00,2.87,5.39,4.04,4.20,4.52,4.57,4.57,4.57,7.49,7.49,7.89
KOTA PALU,0.00,0.00,0.00,0.00,-0.04,0.36,3.17,2.64,2.64,2.64,3.32,3.25
BULUKUMBA,0.00,0.00,0.47,0.47,0.47,0.65,0.65,0.65,0.65,0.65,1.70,2.18
WATAMPONE,0.00,0.00,0.00,0.11,0.76,1.06,1.07,1.08,1.09,1.38,1.39,1.72
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,2.68,2.68,2.87,3.12,3.36,4.07
KOTA PARE-PARE,-0.60,-0.44,-0.44,-0.25,-0.25,-0.11,1.73,1.73,1.73,1.73,1.73,1.73
KOTA PALOPO,0.06,0.27,0.27,0.27,0.25,0.55,0.55,0.85,0.85,0.85,0.85,0.86
KOTA KENDARI,0.00,0.00,0.71,0.71,1.39,1.74,2.55,2.74,2.74,2.90,3.07,3.52
KOTA BAU-BAU,4.24,4.18,4.22,4.33,4.30,4.05,4.85,4.85,4.86,4.92,5.06,5.10
KOTA GORONTALO,0.00,0.09,0.04,0.00,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.27,-0.27
MAMUJU,1.02,1.02,1.57,1.62,1.78,2.07,4.05,4.05,3.12,3.71,3.32,3.44
KOTA AMBON,0.28,0.28,0.28,0.30,0.30,2.18,2.18,3.68,3.97,3.97,3.97,3.97
KOTA TUAL,0.11,1.25,1.26,1.26,1.70,1.70,3.12,3.25,3.46,3.67,3.84,3.75
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.15,0.15,0.15
MANOKWARI,-0.08,1.22,-2.87,-1.85,0.67,-0.18,-0.77,0.03,-0.05,-1.79,-2.53,-2.37
KOTA SORONG,-1.63,4.24,4.50,5.84,6.00,6.00,6.00,6.08,6.08,7.61,8.63,8.63
MERAUKE,1.29,1.73,1.74,1.74,1.74,1.74,1.74,1.74,1.80,1.80,1.80,1.80
KOTA JAYAPURA,0.31,0.68,0.85,0.87,1.17,1.45,2.02,2.48,2.90,3.11,3.25,3.40
