Kota Inflasi,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.39,1.80,3.70,3.70,3.70,3.70
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.38,2.71,2.71,2.71,2.71
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,2.10,2.10,2.10,2.10
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.00,0.14,4.36,5.80,5.80,5.80,5.80
KOTA SURABAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.72,4.28,4.28,4.28,4.28
KOTA TANGERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.36,1.36,1.36,1.36,1.36
KOTA CILEGON,0.29,0.29,0.29,0.29,0.29,0.40,0.40,3.30,3.32,3.73,3.73,3.73
KOTA SERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.26,4.16,6.45,8.84,8.84,8.84
SINGARAJA,0.00,0.00,0.00,0.00,0.00,0.00,0.07,6.54,11.79,12.36,12.36,12.36
KOTA DENPASAR,0.00,0.06,0.06,0.06,0.06,0.06,0.78,5.66,5.74,5.74,5.74,5.74
KOTA MATARAM,0.00,0.00,0.11,0.11,0.11,0.11,0.11,5.58,5.58,5.59,5.59,5.59
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,2.47,2.47,2.47
MAUMERE,0.00,0.14,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
KOTA KUPANG,0.00,0.63,0.63,0.63,0.63,0.75,3.73,7.83,9.13,8.34,8.34,8.34
DILI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PONTIANAK,0.00,0.52,0.52,0.52,0.52,0.53,0.76,7.10,7.10,12.76,12.98,13.17
KOTA SINGKAWANG,0.00,0.00,0.00,0.35,0.35,0.35,1.43,6.85,7.91,12.23,12.23,12.23
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.27,1.62,3.70,3.70,3.70,3.70
KOTA PALANGKA RAYA,0.59,0.59,0.59,0.59,0.59,0.59,5.94,9.56,12.35,12.35,12.35,12.35
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,2.86,2.86,2.86,2.86
KOTA BANJARMASIN,4.95,4.95,4.95,4.95,4.95,4.95,8.54,8.54,12.65,12.65,12.65,12.65
KOTA BALIKPAPAN,0.92,0.92,0.92,0.92,0.98,1.21,3.57,1.82,4.03,5.11,5.11,5.34
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,1.02,6.64,6.64,6.64,6.64,6.64,8.41
KOTA TARAKAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,3.11,6.46,6.46,6.46,6.46,6.46
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.01,4.01,4.01,4.01,4.01
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,3.03,3.03,3.03,3.03
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.82,0.82,0.82,0.82
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PALOPO,0.00,0.00,0.00,0.00,0.00,0.27,0.27,1.26,1.26,1.26,1.70,1.70
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20
KOTA BAU-BAU,0.23,0.23,0.23,0.23,0.23,1.04,3.60,3.60,3.60,3.60,3.60,3.69
KOTA GORONTALO,0.00,0.00,0.00,0.00,0.00,0.00,0.82,3.38,3.38,3.38,3.38,3.38
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TUAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.11,5.42,5.42,5.42,5.42
KOTA TERNATE,0.00,0.00,0.11,0.11,0.46,1.40,2.37,6.35,6.35,6.35,6.35,6.35
MANOKWARI,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,2.67,2.81,3.44,3.44
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,14.57,18.99,18.99,25.06
MERAUKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50
KOTA JAYAPURA,0.08,0.09,0.09,0.10,0.11,0.13,0.72,3.44,4.49,4.77,4.79,4.87
