Kota Inflasi,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014
KOTA MEULABOH,0.18,0.18,0.18,0.18,0.18,1.26,5.45,3.68,10.06,10.06,10.06,10.06
KOTA BANDA ACEH,0.00,0.09,0.09,0.09,0.09,0.09,1.72,1.72,1.72,1.72,1.72,1.72
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.60,1.86,1.86,1.86,1.86,1.86
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,2.82,3.58,3.13,3.13
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.42,5.81,9.85,9.85,9.85,9.85
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.00,0.00,0.82,0.82,0.89,3.32,3.32,3.32,3.32,3.32
KOTA BUKITTINGGI,1.97,1.97,1.97,1.97,1.97,1.97,9.08,11.79,11.79,11.79,11.79,11.79
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.37,1.42,1.42,6.59,6.59,6.59,6.59
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,1.90,1.90,1.90
KOTA DUMAI,0.32,0.64,0.64,0.64,0.64,0.64,0.92,5.77,5.77,5.77,6.01,6.24
BUNGO,-0.40,-0.40,-0.40,1.00,1.00,1.00,4.01,4.01,4.12,4.12,6.93,7.56
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,1.72,1.72,1.72,1.72
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.57,0.57,0.57,0.57,0.57
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.12,2.17,2.25,2.25,2.25,2.25
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,6.67,6.67,6.67,6.67
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.10,9.10,14.76,14.76,14.76
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,6.06,6.06,6.06,6.06
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,25.66,25.66,25.66,25.66,25.66,25.66
KOTA PANGKAL PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,7.02,7.37,7.37,7.37
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,4.45,5.03,4.83,7.31
KOTA TANJUNG PINANG,0.44,0.44,0.44,0.44,0.44,0.44,2.25,2.25,3.20,3.20,3.20,3.20
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.91,2.09,2.31,2.31,2.31,2.31
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.61,4.61,4.61,4.61,4.61
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.85,8.85,8.85,8.85,8.85
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,5.41,5.41,5.41,5.41
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,13.24,13.24,13.24,13.24
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.10,10.77,10.77,10.77,10.77
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.46,0.46,0.46,0.46
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.22,7.41,7.41,7.41,7.41
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,1.73,3.03,6.93,8.73,12.66,12.66
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.35,2.80,2.80,4.89,4.89,4.89
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.94,10.30,10.25,10.25,10.25
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.12,6.12,6.12,6.12,6.12
KOTA SEMARANG,0.01,0.07,0.07,0.07,0.07,0.19,1.24,3.71,7.50,9.48,9.48,9.48
KOTA TEGAL,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,3.40,4.36,4.36,4.36
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.82,1.22,3.29,3.29,3.29,3.29
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.42,4.42,4.42,4.42
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,3.83,3.83,3.83,3.83
SUMENEP,0.00,0.00,0.00,1.48,1.48,1.48,1.48,3.29,3.29,5.08,5.08,5.08
