Kota Inflasi,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,1.91,2.17
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,2.98,2.98,2.98,2.98
KOTA LHOKSEUMAWE,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.86
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.97,0.97,0.97,0.97,0.97
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.23,0.23,0.23,0.23,0.23
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,1.58,2.22,2.22,2.22,2.22,2.22
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,1.23,1.53,3.97,8.14,8.14,8.14
TEMBILAHAN,0.00,1.18,1.18,1.18,1.18,1.18,6.96,6.96,6.96,6.96,6.96,6.96
KOTA PEKANBARU,0.22,0.22,0.22,0.22,0.22,0.22,1.18,2.32,2.32,2.32,2.32,2.32
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
BUNGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.23,5.23,5.44,5.44,5.44
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.01,0.31,5.95,5.95,5.95,5.95,5.95
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,2.65,2.67
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.01,4.65,4.65,4.65,4.65,4.65
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,8.70,8.70
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,5.60,6.07,6.07,6.07
TANJUNG PANDAN,0.00,0.00,0.65,0.65,0.65,0.65,0.65,1.44,0.77,0.77,0.77,0.77
KOTA PANGKAL PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,4.09,4.09,4.09,4.09
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,5.27,6.00,11.17,11.17,11.17,11.17
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,6.95,7.11,7.11,7.11,7.11,7.11
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.16,1.16,1.16,1.16,1.16
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.02,10.02,10.02,10.02
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.22,0.22,0.22
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,1.97,1.97,1.97,1.97
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,3.83,3.83,3.83
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.69,0.69,0.69,0.69
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,0.81,4.45,4.58,4.58,4.58,4.58
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.24,3.61,3.61,3.61,3.61,3.61
KUDUS,0.00,0.00,0.08,0.08,0.08,0.08,0.61,9.86,10.36,10.36,10.36,10.36
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,1.52,1.52,1.52,1.52
KOTA SEMARANG,0.00,0.00,0.00,0.00,0.00,0.00,3.24,4.39,6.30,6.30,6.30,6.30
KOTA TEGAL,0.00,2.73,2.73,2.73,2.73,2.73,2.73,5.22,5.48,7.36,7.36,7.36
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,1.09,3.44,4.42,4.94,4.94,4.94
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,3.12,3.12,3.12
BANYUWANGI,0.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,5.00,6.26,6.26,6.26
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.76,2.76,2.76,3.60,3.60
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,13.51,13.51,13.51
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.08,2.81,2.81,2.81,2.81
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1.67,4.45,4.45,4.45
