Kota Inflasi,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018
KOTA MEULABOH,0.21,0.42,0.42,0.42,0.42,0.42,0.42,0.42,1.41,1.41,1.41,1.41
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.97,3.97,3.97,3.97,3.97
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.64,18.64,18.64,18.64
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.69,1.69
KOTA MEDAN,0.28,0.28,0.28,0.28,0.28,0.28,1.31,1.31,1.31,1.31,1.31,1.31
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,4.55,4.55
KOTA PADANG,0.39,0.39,0.39,0.39,0.39,0.39,2.04,2.26,2.44,2.44,2.44,2.44
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,4.34,5.20,5.20
TEMBILAHAN,0.00,0.00,0.19,0.19,0.19,0.19,0.83,0.83,1.47,1.47,1.47,1.47
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.60,0.60,0.60,0.60,0.60
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.41,0.48,0.48,0.55,0.55
BUNGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,1.70,1.70,1.70,1.70
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,3.63,3.63,3.63,3.63
KOTA PALEMBANG,0.00,0.00,0.00,0.07,0.07,0.07,0.99,1.40,1.47,3.64,3.64,3.85
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,1.90,1.90,1.90,1.90
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.55,6.97,6.97,6.97,6.97
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.85,6.23,6.23,6.23,6.23
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.79,9.92,9.92,9.92,9.92
KOTA PANGKAL PINANG,0.69,0.69,0.69,0.69,0.69,0.69,0.69,2.63,2.72,2.72,2.86,2.86
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,6.50,6.50,6.50,6.50
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,2.56,2.56,5.91,5.91,5.91,5.91
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,3.46,3.47,3.47,3.47,3.47,3.47
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,5.11,5.11,5.11,5.11
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50,3.50,3.50,3.50
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,1.08,1.08,1.08,1.08
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,4.29,4.29,6.74,6.74,6.74,6.74
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.69,8.69,8.69,8.69,8.69
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.68,0.68,0.68
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,1.53,1.53,1.63,1.63,1.63,1.63
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.84,1.03,1.03,1.03,1.03
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,-1.60,-1.26,-1.04,-1.04,-1.04,-1.04
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.34,1.80,1.80,2.64,2.64,2.64
KOTA SEMARANG,0.00,0.00,0.00,0.00,0.00,0.52,0.56,0.56,2.08,2.08,2.08,2.08
KOTA TEGAL,0.00,0.00,0.00,0.00,0.00,0.00,0.35,1.21,1.51,1.51,1.51,1.51
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,1.91,3.82,5.36,5.42,5.42,5.42
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.45,3.25,3.25,3.25,3.25
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.51,7.98,7.98,7.98,7.98
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,1.89,1.89,1.89,1.89
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.30,5.30,5.30
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.18,6.18,6.18,6.18,6.18
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,2.84,2.84,2.84,2.84
KOTA SURABAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,6.92,6.92,6.92,6.92
KOTA TANGERANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,4.51,4.51,4.51,4.51
KOTA CILEGON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.58,5.58,5.58,5.58,5.58
KOTA SERANG,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.75,1.75,1.75,1.75,1.75
SINGARAJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.66,13.66,13.66,13.66,13.66
KOTA DENPASAR,0.00,0.00,0.00,0.00,0.00,0.00,2.62,2.62,3.04,3.04,3.04,3.04
KOTA MATARAM,0.11,0.11,0.11,0.11,0.11,0.11,0.49,0.49,0.49,0.49,0.49,0.49
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,0.69,0.69,0.69,0.69
MAUMERE,0.68,0.68,0.68,0.68,0.68,0.68,0.68,1.20,1.90,1.90,1.90,1.90
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,1.09,1.61,1.61,1.61,1.61,1.61
DILI,0.00,0.00,0.00,0.00,0.00,0.00,5.07,5.07,5.07,5.07,5.07,5.07
KOTA PONTIANAK,0.82,0.82,0.82,0.82,0.82,0.82,1.66,1.66,1.66,1.66,1.66,1.66
KOTA SINGKAWANG,0.24,2.29,2.29,2.29,2.29,2.29,4.24,4.24,4.24,4.24,4.24,4.24
SAMPIT,0.00,0.00,0.24,0.24,0.24,0.24,0.24,1.63,2.42,2.42,2.42,2.42
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.13,4.22,4.22,4.22
TANJUNG,0.47,0.47,0.47,0.47,0.47,0.47,0.66,0.66,0.66,0.66,0.66,0.66
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,0.00,4.76,6.01,6.87,6.87,7.06,7.06
