Kota Inflasi,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014
KOTA MEULABOH,1.85,2.78,3.77,3.39,1.21,1.55,1.55,2.35,2.32,4.33,4.33,4.36
KOTA BANDA ACEH,4.27,5.96,6.05,10.95,11.45,11.20,12.07,12.07,12.07,12.07,12.07,12.07
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.33,1.07,1.07,1.07,1.07
KOTA SIBOLGA,0.20,0.20,0.20,-0.79,-0.79,-0.79,1.09,1.13,1.13,1.13,1.13,2.90
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.28,0.28,0.28,0.28,0.28
KOTA MEDAN,-0.04,-0.20,-0.43,-0.43,-0.14,0.14,-0.58,-0.37,-0.37,-0.37,-0.08,0.02
KOTA PADANGSIDIMPUAN,-0.24,-0.07,-0.07,-0.07,-0.05,6.01,6.01,6.01,6.72,6.72,6.72,6.56
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.08,1.08,0.84,2.68,3.55,3.55,4.31
KOTA BUKITTINGGI,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37,-0.15,-0.06,0.47,0.50,0.78,0.78
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,8.95,8.95,8.95,8.95,8.95,8.95,9.08
KOTA PEKANBARU,0.18,0.18,0.12,0.21,0.39,0.53,0.53,0.64,1.40,1.32,1.07,1.07
KOTA DUMAI,1.44,1.53,2.37,2.50,2.03,1.91,2.01,2.01,1.61,1.61,2.58,1.14
BUNGO,0.00,0.00,0.49,1.31,1.31,1.31,1.31,1.31,0.21,0.21,4.17,4.17
KOTA JAMBI,0.00,0.64,3.37,4.19,4.05,4.02,3.06,1.86,1.74,1.82,2.82,5.07
KOTA PALEMBANG,0.00,0.22,0.22,0.23,0.23,1.00,1.00,1.25,1.59,1.74,3.27,3.50
KOTA LUBUKLINGGAU,1.83,1.99,1.97,1.97,1.97,1.58,1.60,1.60,1.60,1.60,9.31,10.22
KOTA BENGKULU,0.04,0.04,0.04,0.29,0.53,1.93,3.85,4.27,5.21,5.40,5.40,5.40
KOTA BANDAR LAMPUNG,0.00,1.03,1.60,1.60,1.60,1.86,1.86,3.45,3.36,3.36,2.85,4.22
KOTA METRO,-0.45,-0.45,-0.45,-0.53,0.52,-0.62,0.56,-5.80,-7.94,-7.79,-7.67,-8.37
TANJUNG PANDAN,4.47,4.47,4.47,4.47,4.47,4.59,4.59,4.59,10.49,10.19,9.27,10.41
KOTA PANGKAL PINANG,0.00,0.07,-0.67,-1.53,-0.05,-1.03,1.29,1.29,1.29,0.96,0.96,1.09
KOTA BATAM,0.26,0.26,1.50,1.50,1.50,1.50,1.52,1.52,1.52,0.88,0.88,0.88
KOTA TANJUNG PINANG,0.00,-1.13,-1.13,-1.13,-1.13,-1.13,-0.90,0.60,0.60,0.60,0.60,2.05
DKI JAKARTA,0.42,0.42,0.56,0.56,0.57,0.77,1.21,1.12,1.34,2.43,2.45,3.75
KOTA BOGOR,0.92,1.00,1.59,1.59,1.59,1.59,1.96,0.85,0.81,1.22,1.36,1.56
KOTA SUKABUMI,0.77,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.34,4.34,4.34,4.34
KOTA BANDUNG,0.00,-0.18,0.03,0.16,0.16,0.51,0.71,0.74,1.14,1.14,1.14,4.29
KOTA CIREBON,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
KOTA BEKASI,0.03,-0.24,-0.71,-0.58,-0.21,-0.21,0.89,1.42,1.63,1.76,1.74,1.65
KOTA DEPOK,0.20,0.20,1.08,0.51,0.44,0.44,5.08,5.08,4.88,5.19,5.19,5.09
KOTA TASIKMALAYA,0.72,2.06,2.37,1.76,1.87,1.95,2.83,2.99,2.48,2.66,3.08,3.91
CILACAP,0.00,1.26,1.00,1.28,1.34,1.88,1.53,1.17,2.57,2.08,2.37,4.23
PURWOKERTO,0.33,0.33,0.33,0.38,0.38,3.16,3.21,3.21,2.68,3.61,3.61,4.35
KUDUS,0.22,1.26,1.72,1.92,1.14,2.99,10.67,10.12,10.34,11.73,11.73,11.73
KOTA SURAKARTA,-0.16,-0.21,-0.15,0.05,0.43,0.63,0.63,0.63,0.95,1.03,1.05,0.88
KOTA SEMARANG,0.13,0.75,1.26,1.60,1.70,1.72,2.52,2.59,2.68,2.68,2.68,3.25
KOTA TEGAL,0.04,0.77,3.61,3.61,3.66,3.66,3.66,3.66,4.93,5.29,5.29,5.34
KOTA YOGYAKARTA,0.08,0.35,0.66,0.51,0.34,0.23,-1.13,-0.64,0.04,0.35,0.42,0.33
JEMBER,0.00,0.00,0.09,0.09,0.09,0.09,0.09,0.47,0.47,0.47,0.52,0.52
BANYUWANGI,0.37,2.81,3.37,3.41,3.41,3.41,3.41,3.97,3.97,3.97,3.97,4.27
SUMENEP,0.16,1.74,2.15,3.15,4.48,5.45,4.31,3.61,3.92,4.28,5.06,5.33
KOTA KEDIRI,5.24,5.30,5.15,5.29,4.98,7.31,7.83,8.04,7.56,7.90,8.30,9.17
KOTA MALANG,0.00,0.91,1.02,1.61,1.95,1.95,2.41,2.41,2.00,2.00,2.00,2.03
KOTA PROBOLINGGO,0.02,-0.06,-0.06,0.62,0.62,0.62,1.99,1.91,1.86,2.11,2.23,4.55
KOTA MADIUN,0.49,1.24,1.92,2.22,2.40,2.61,3.84,3.84,3.84,4.48,4.48,6.03
KOTA SURABAYA,0.04,0.05,1.39,2.07,2.16,2.16,2.25,2.25,2.23,2.76,2.76,2.81
KOTA TANGERANG,0.67,10.24,10.78,10.89,11.83,13.67,13.67,13.14,15.15,15.15,15.26,16.83
KOTA CILEGON,3.35,5.83,6.15,6.44,6.55,6.35,6.61,6.36,7.16,7.64,7.54,7.73
KOTA SERANG,0.34,0.34,-0.52,-0.52,-0.49,-0.24,-0.54,-0.41,1.63,1.73,1.53,1.75
SINGARAJA,0.00,2.36,2.36,2.84,2.84,2.84,1.42,-1.55,2.64,3.46,4.28,5.03
KOTA DENPASAR,0.16,0.06,0.06,0.29,2.27,2.52,2.54,2.54,3.25,2.88,4.27,4.34
KOTA MATARAM,0.00,0.00,0.07,0.07,0.07,0.93,1.10,2.57,2.57,2.62,2.74,2.92
KOTA BIMA,0.00,0.00,0.00,0.00,-0.09,1.17,-0.30,0.47,1.87,1.86,2.58,4.66
MAUMERE,-1.28,-1.49,-1.50,2.17,2.28,2.30,2.30,2.30,2.30,3.28,3.28,5.38
KOTA KUPANG,0.00,0.27,0.97,0.97,1.05,1.23,2.51,2.52,2.69,2.77,3.37,3.41
DILI,1.12,1.53,2.63,2.43,2.50,2.50,3.88,5.05,5.49,5.97,7.19,7.87
KOTA PONTIANAK,-0.07,-0.06,3.05,3.05,3.02,3.06,3.36,3.36,3.36,4.02,5.31,5.35
KOTA SINGKAWANG,0.51,2.26,3.72,4.18,4.52,2.85,2.50,2.50,2.93,4.01,4.22,4.77
SAMPIT,0.36,0.36,0.47,1.08,1.08,0.94,1.42,1.42,1.89,1.71,1.46,1.46
KOTA PALANGKA RAYA,0.00,0.53,0.53,0.53,0.53,0.53,0.53,1.07,1.07,1.07,1.07,1.07
TANJUNG,0.00,2.33,2.10,2.07,2.43,2.91,2.55,2.55,4.76,4.79,5.23,5.64
KOTA BANJARMASIN,-0.22,-0.22,-0.29,-0.32,-0.32,-0.32,1.40,1.40,1.40,0.99,0.99,4.06
KOTA BALIKPAPAN,-0.01,-0.01,0.58,0.85,0.96,1.32,1.27,1.08,1.33,1.59,1.52,1.52
KOTA SAMARINDA,0.00,1.06,1.06,1.06,1.06,1.06,2.00,2.00,2.00,2.49,2.49,2.49
KOTA TARAKAN,0.69,0.69,0.49,0.49,0.52,0.59,1.05,1.05,1.02,1.02,1.13,1.24
KOTA MANADO,0.18,0.19,0.13,0.13,0.14,0.25,0.90,0.90,0.90,0.73,0.73,0.97
KOTA PALU,4.51,3.97,3.76,6.19,6.31,6.31,6.31,6.31,6.59,6.59,6.59,6.59
BULUKUMBA,0.00,0.00,-0.54,-0.54,-0.54,-0.54,-0.47,-0.47,-0.41,-0.41,0.19,2.55
WATAMPONE,0.00,0.02,0.02,0.02,0.02,0.15,0.44,0.44,1.98,1.98,2.00,2.12
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.06,0.57,0.57,0.57,0.57,0.57,1.35
KOTA PARE-PARE,0.01,0.01,0.01,0.01,-0.08,0.37,0.37,0.37,0.37,0.37,0.40,0.97
KOTA PALOPO,0.00,-0.03,-0.19,-0.19,-0.28,-0.17,-0.36,-1.06,-1.24,-0.96,-1.34,0.14
KOTA KENDARI,0.14,0.44,0.43,0.45,0.87,0.64,-0.07,3.16,4.62,4.44,4.56,4.50
KOTA BAU-BAU,-0.19,1.26,2.55,2.93,2.83,2.83,3.13,3.22,3.27,3.27,3.27,3.27
KOTA GORONTALO,-0.27,0.27,0.27,0.27,0.27,0.27,-0.45,-0.45,-0.40,-0.45,-0.30,-0.29
MAMUJU,0.00,0.84,0.84,8.12,8.34,8.35,8.41,8.01,7.99,10.17,10.16,10.40
KOTA AMBON,0.00,0.00,0.00,0.00,0.04,0.06,0.09,0.09,0.09,0.09,2.75,5.12
KOTA TUAL,0.00,3.24,4.13,3.77,2.42,2.58,4.13,3.19,2.09,2.08,2.28,2.29
