Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
KOTA MEULABOH,-0.17,-0.17,-0.19,-0.20,-0.20,-0.19,0.22,0.22,0.41,4.25,4.31,4.31
KOTA BANDA ACEH,0.00,0.00,0.00,0.01,0.02,0.02,0.41,0.85,0.87,0.67,0.67,0.69
KOTA LHOKSEUMAWE,0.00,0.31,0.92,0.92,0.81,0.81,5.12,4.60,5.20,4.78,4.78,4.81
KOTA SIBOLGA,0.07,0.18,0.37,0.63,0.67,0.69,2.17,3.44,3.44,3.44,3.39,3.43
KOTA PEMATANG SIANTAR,-0.16,0.35,0.35,0.35,0.35,0.35,4.06,5.79,5.79,5.79,5.80,5.80
KOTA MEDAN,0.20,0.37,0.36,0.43,0.41,0.41,0.84,1.44,1.44,1.44,1.44,1.43
KOTA PADANGSIDIMPUAN,0.55,0.58,0.49,1.37,1.10,4.24,4.37,4.37,9.62,9.74,9.77,9.73
KOTA PADANG,1.66,3.26,4.75,4.76,4.73,4.97,5.85,6.78,6.35,6.41,6.42,6.29
KOTA BUKITTINGGI,-0.06,-0.13,-0.27,-0.22,0.21,0.28,0.21,1.59,2.19,2.38,2.40,2.40
TEMBILAHAN,0.03,0.03,0.03,-0.05,-0.05,-0.05,-0.05,2.49,2.49,2.48,2.48,2.48
KOTA PEKANBARU,-0.01,-0.01,0.01,0.02,-0.06,-0.07,1.58,2.77,2.68,2.57,2.50,2.39
KOTA DUMAI,0.06,0.10,0.17,0.45,0.45,0.52,0.53,2.50,2.74,2.74,2.75,2.75
BUNGO,2.77,2.73,2.69,2.60,2.82,2.87,3.36,3.44,3.46,3.39,3.39,3.27
KOTA JAMBI,0.78,0.90,1.95,1.94,2.27,2.22,4.03,4.17,4.09,4.03,4.03,3.92
KOTA PALEMBANG,0.00,0.02,0.02,0.02,0.11,0.12,1.57,2.22,3.86,3.86,3.86,3.88
KOTA LUBUKLINGGAU,0.06,0.03,0.03,0.03,0.08,0.13,0.86,1.19,2.67,2.72,2.69,2.69
KOTA BENGKULU,0.00,0.39,0.37,0.40,0.41,0.42,1.12,1.19,1.15,1.08,1.09,1.14
KOTA BANDAR LAMPUNG,0.14,0.14,0.14,0.14,-0.19,-0.19,-0.10,-0.10,5.96,5.97,5.87,5.87
KOTA METRO,-0.01,0.05,0.04,0.08,0.22,1.14,1.19,4.39,5.06,5.02,4.99,4.89
TANJUNG PANDAN,0.00,-0.01,1.21,1.21,1.17,1.17,1.94,7.67,7.70,7.69,7.86,7.85
