Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
KOTA PANGKAL PINANG,0.09,0.14,0.04,0.01,0.03,0.01,1.79,1.83,1.85,1.83,1.84,1.84
KOTA BATAM,0.13,0.13,0.23,0.23,0.23,0.78,0.78,4.61,4.61,4.83,4.83,4.83
KOTA TANJUNG PINANG,0.00,0.02,0.07,0.09,0.07,0.09,0.10,2.89,2.86,2.86,2.86,2.87
DKI JAKARTA,0.03,0.15,0.15,0.16,0.31,0.29,1.49,1.51,1.51,1.62,1.71,1.55
KOTA BOGOR,0.74,0.93,1.11,1.33,1.44,1.54,1.90,6.58,8.15,8.17,8.44,8.37
KOTA SUKABUMI,0.02,0.02,0.03,0.03,0.07,0.34,1.24,3.78,3.83,4.51,4.49,4.49
KOTA BANDUNG,0.54,0.52,0.52,0.52,0.52,0.77,0.89,1.52,1.50,2.00,2.00,2.02
KOTA CIREBON,0.00,0.00,0.00,0.02,0.02,0.14,0.14,3.05,3.09,3.09,3.13,3.13
KOTA BEKASI,0.91,1.17,1.17,1.17,1.17,1.24,3.64,6.70,8.05,8.15,8.16,8.17
KOTA DEPOK,0.04,0.04,0.04,0.01,0.03,0.03,0.79,3.10,3.76,3.84,3.73,3.65
KOTA TASIKMALAYA,0.99,1.44,1.40,1.37,1.37,1.32,1.81,2.98,3.60,3.61,3.62,3.62
CILACAP,0.15,0.21,0.21,0.20,0.21,0.27,1.18,0.92,0.87,0.98,1.08,1.19
PURWOKERTO,0.60,0.47,0.47,0.47,0.44,0.47,0.49,0.67,0.70,0.68,0.68,0.64
KUDUS,0.12,0.12,0.12,0.17,0.18,0.30,2.61,4.21,4.21,5.07,5.07,5.07
KOTA SURAKARTA,0.28,0.88,0.89,0.88,0.94,0.95,0.95,1.85,2.09,2.62,2.68,2.75
KOTA SEMARANG,0.16,0.16,0.21,0.22,0.22,0.24,0.74,1.66,2.90,2.87,2.88,2.88
KOTA TEGAL,0.45,0.44,0.56,0.64,0.77,0.94,5.03,4.95,4.92,4.91,4.76,4.81
KOTA YOGYAKARTA,0.10,0.17,0.16,0.18,0.14,0.17,0.23,2.23,2.51,3.95,3.95,3.92
JEMBER,0.21,0.39,0.40,0.45,0.38,0.45,0.53,3.60,4.19,4.18,4.22,4.20
BANYUWANGI,0.21,0.25,0.24,0.17,0.05,0.29,0.89,1.96,2.62,2.44,2.94,2.86
SUMENEP,0.06,0.07,0.59,0.59,0.57,0.57,0.63,1.35,2.11,2.19,2.07,2.11
KOTA KEDIRI,-0.11,-0.05,-0.05,0.02,0.03,0.05,0.05,1.11,1.09,1.17,1.17,1.17
KOTA MALANG,0.30,0.30,0.30,0.25,0.25,0.33,0.34,0.64,0.64,0.64,0.80,0.85
KOTA PROBOLINGGO,0.00,0.02,0.02,-0.07,-0.05,-0.05,-0.07,-0.25,-0.24,0.35,0.35,0.35
KOTA MADIUN,1.50,1.47,1.47,1.46,1.47,1.47,1.56,2.52,3.04,3.05,3.08,3.07
KOTA SURABAYA,0.09,0.17,0.18,0.20,0.09,0.09,0.21,2.32,3.30,3.34,3.33,3.33
KOTA TANGERANG,0.21,0.09,-0.08,-0.13,-0.23,0.03,0.93,1.02,1.58,1.58,1.59,1.15
KOTA CILEGON,0.51,0.52,0.58,0.58,0.70,0.80,4.26,4.26,4.35,4.30,4.42,4.43
KOTA SERANG,0.08,0.48,0.53,0.60,0.67,0.72,2.12,2.15,2.17,2.19,2.20,2.20
SINGARAJA,-0.03,-0.23,-0.30,-0.37,-0.35,-0.43,-0.43,6.82,6.86,6.67,6.67,6.28
KOTA DENPASAR,0.17,0.27,0.19,0.70,0.85,0.73,1.25,6.43,6.48,6.45,6.52,6.67
KOTA MATARAM,0.05,-0.01,0.06,0.07,0.08,0.08,0.47,1.58,1.58,1.59,1.40,1.40
KOTA BIMA,0.00,0.07,0.08,0.08,0.07,0.07,0.08,1.31,1.84,1.84,1.83,1.83
MAUMERE,0.31,0.59,0.75,0.78,0.76,0.78,1.60,1.64,1.57,1.55,1.51,1.62
KOTA KUPANG,0.20,0.16,0.10,0.11,0.09,0.03,2.05,2.04,2.32,2.30,2.30,2.27
DILI,-0.01,0.04,0.04,0.24,0.23,0.24,2.05,2.42,2.40,2.44,2.36,2.35
KOTA PONTIANAK,0.62,0.63,0.68,0.70,0.66,0.66,3.56,3.55,3.56,4.06,3.96,4.08
KOTA SINGKAWANG,-0.10,-0.21,-0.15,-0.09,-0.09,-0.21,0.50,4.22,4.93,4.28,4.30,4.13
SAMPIT,0.44,0.45,0.50,0.42,0.24,0.24,2.28,2.37,2.95,2.98,2.90,2.94
KOTA PALANGKA RAYA,0.02,0.02,0.01,0.06,0.17,0.11,0.95,0.79,1.09,1.07,1.07,1.09
TANJUNG,0.09,0.15,0.09,0.20,0.34,0.49,1.36,1.69,1.74,1.92,2.34,2.19
KOTA BANJARMASIN,0.40,0.40,0.92,0.96,0.95,0.92,2.17,2.37,3.21,3.14,3.13,3.13
KOTA BALIKPAPAN,0.01,0.21,0.36,0.73,0.96,1.43,3.95,4.22,4.23,4.16,4.21,4.18
KOTA SAMARINDA,0.07,0.07,0.07,0.07,0.07,0.30,4.21,4.21,4.21,4.25,4.29,4.27
KOTA TARAKAN,0.09,0.43,0.51,0.53,0.53,0.49,0.57,6.42,6.44,6.49,6.49,6.55
KOTA MANADO,0.07,0.61,0.61,0.64,0.62,0.62,2.45,2.69,4.18,4.18,4.18,4.18
KOTA PALU,0.61,2.36,2.66,3.61,3.58,3.79,4.08,4.21,4.40,4.39,4.53,4.61
BULUKUMBA,1.21,1.30,2.24,2.79,2.79,2.86,3.36,9.30,9.30,9.30,9.30,9.30
WATAMPONE,0.02,0.07,0.12,0.10,0.06,0.08,0.25,1.61,1.61,1.61,1.57,1.58
KOTA MAKASSAR,0.00,-0.03,-0.09,0.01,-0.02,0.10,5.15,5.06,5.10,5.10,5.11,5.10
KOTA PARE-PARE,0.00,0.00,0.03,0.03,0.12,0.05,0.12,2.41,2.41,2.41,2.41,2.41
KOTA PALOPO,0.47,0.44,0.44,0.46,0.46,0.53,2.72,2.76,3.46,4.25,4.25,4.25
KOTA KENDARI,0.06,0.06,0.06,0.10,1.18,1.19,1.22,1.22,1.65,1.65,1.65,1.65
KOTA BAU-BAU,0.00,0.02,0.11,0.11,0.11,0.12,0.12,4.19,4.13,4.13,4.09,4.11
KOTA GORONTALO,-0.08,-0.07,-0.10,-0.20,-0.33,-0.22,1.16,2.43,2.37,3.21,3.22,3.30
MAMUJU,0.03,0.05,0.23,0.23,0.25,0.21,3.68,8.97,8.97,9.16,9.19,9.13
KOTA AMBON,0.27,0.27,0.29,0.30,0.33,0.50,1.04,1.04,1.04,1.04,1.04,1.05
KOTA TUAL,0.01,0.02,0.04,0.03,0.04,0.03,0.06,0.37,0.40,0.44,0.49,0.53
KOTA TERNATE,1.76,2.35,3.09,3.17,4.74,4.80,5.62,8.46,8.66,8.82,8.87,8.92
MANOKWARI,0.03,0.20,0.22,0.14,0.00,-0.14,-0.17,-0.01,2.08,2.21,2.19,2.14
KOTA SORONG,0.14,0.21,0.26,0.20,0.21,0.24,0.27,0.27,0.27,0.31,0.30,0.27
MERAUKE,0.03,0.15,0.18,0.32,0.40,0.41,0.45,0.45,0.83,0.84,0.85,0.85
KOTA JAYAPURA,0.24,0.35,0.41,0.44,0.47,0.54,1.46,2.69,3.18,3.28,3.30,3.25
