Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
KOTA MEULABOH,-1.11,-1.11,-1.21,-1.32,-1.32,-1.24,-0.21,-0.21,1.44,2.73,2.71,2.61
KOTA BANDA ACEH,0.00,0.00,0.00,0.06,0.25,0.25,3.82,3.94,4.09,4.09,4.12,4.27
KOTA LHOKSEUMAWE,0.00,1.88,5.56,5.56,5.56,5.56,11.35,8.17,11.80,11.80,11.80,11.80
KOTA SIBOLGA,-0.03,0.45,0.45,2.11,2.11,2.15,11.06,11.16,11.16,11.16,11.16,11.40
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,2.23,2.23,2.30,2.30
KOTA MEDAN,0.00,0.00,-0.02,0.37,0.39,0.39,2.52,2.52,2.52,2.53,2.53,2.53
KOTA PADANGSIDIMPUAN,0.26,1.09,1.09,7.10,7.36,7.54,7.54,7.54,7.86,7.97,8.16,8.18
KOTA PADANG,0.00,0.28,0.28,0.28,0.02,-0.10,0.00,-0.03,-0.03,0.10,0.10,0.10
KOTA BUKITTINGGI,0.00,-0.95,-1.61,-1.38,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
TEMBILAHAN,-0.55,-0.55,-0.55,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34
KOTA PEKANBARU,0.00,0.13,0.13,0.22,0.22,0.08,0.05,-0.52,-0.47,-0.37,-0.37,-0.37
KOTA DUMAI,0.33,0.24,0.66,1.36,1.36,1.42,1.44,1.44,1.44,1.44,1.54,1.54
BUNGO,-0.09,-0.09,-0.09,-0.52,0.54,0.83,0.98,0.98,1.09,0.90,0.90,0.75
KOTA JAMBI,4.90,6.85,12.55,12.49,14.20,12.36,12.81,13.80,14.09,13.69,13.69,13.37
KOTA PALEMBANG,0.03,0.03,0.03,-0.15,-0.01,-0.01,0.19,0.19,3.35,3.35,3.35,3.35
KOTA LUBUKLINGGAU,-0.01,-0.01,-0.01,-0.04,0.29,0.36,0.82,0.87,1.18,1.24,1.06,1.04
KOTA BENGKULU,0.00,0.26,0.26,0.26,0.26,0.26,0.26,0.41,0.61,0.63,0.63,0.96
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
KOTA METRO,0.84,1.61,1.99,2.71,4.17,5.98,6.32,6.13,6.01,5.88,5.81,5.82
TANJUNG PANDAN,0.00,-0.01,0.16,0.15,-0.05,-0.05,4.15,4.15,4.15,4.13,4.13,4.13
KOTA PANGKAL PINANG,-0.01,-0.04,-0.04,-0.04,0.03,0.03,0.03,-0.09,0.15,0.15,0.27,0.27
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,2.13,2.13,2.13,2.13,2.29,2.29,2.29
KOTA TANJUNG PINANG,0.00,0.08,0.29,0.37,0.49,0.49,0.49,0.50,0.50,0.50,0.49,0.49
DKI JAKARTA,0.22,0.66,0.69,0.79,1.10,0.93,0.94,1.00,1.00,1.24,1.31,1.36
KOTA BOGOR,0.53,0.50,0.45,0.45,0.63,0.81,3.64,5.57,5.56,5.74,6.68,6.99
KOTA SUKABUMI,0.14,0.14,0.14,0.14,0.27,0.35,2.02,2.69,2.69,2.69,2.69,2.69
KOTA BANDUNG,0.28,0.28,0.28,0.28,0.28,0.36,0.53,0.53,0.53,0.53,0.53,0.53
KOTA CIREBON,0.00,0.00,0.00,0.12,0.12,1.17,1.17,2.86,3.20,3.20,3.54,3.54
KOTA BEKASI,3.75,4.44,4.41,4.45,4.49,5.15,6.13,6.44,6.39,6.39,6.39,6.33
KOTA DEPOK,0.00,0.00,0.00,0.00,0.16,0.16,4.85,6.02,6.07,6.07,5.93,5.59
KOTA TASIKMALAYA,0.69,0.68,0.68,1.17,1.17,1.17,1.46,1.46,1.49,1.55,1.23,1.23
CILACAP,1.22,1.64,1.65,1.58,1.75,2.26,2.74,2.40,2.57,2.94,3.59,4.52
PURWOKERTO,1.57,2.76,2.69,2.91,2.92,2.70,2.70,3.01,3.42,3.60,3.60,3.42
KUDUS,0.97,0.97,0.97,1.17,1.26,2.16,2.16,1.58,1.58,1.70,1.70,1.70
KOTA SURAKARTA,0.40,1.35,1.36,1.37,1.37,1.37,1.40,1.84,4.02,5.97,6.50,7.41
KOTA SEMARANG,1.65,1.63,1.77,1.82,1.93,2.03,2.01,2.03,2.06,1.89,1.93,1.92
KOTA TEGAL,-0.05,-0.05,0.43,0.30,1.24,1.24,1.24,1.11,1.14,1.11,1.11,1.51
KOTA YOGYAKARTA,0.30,0.72,0.73,0.86,0.77,1.00,1.14,2.08,2.07,2.06,2.12,1.93
JEMBER,0.44,0.97,0.99,0.99,0.41,0.52,1.51,1.35,1.54,1.72,1.80,1.69
BANYUWANGI,1.24,1.34,1.25,1.17,0.86,1.14,4.07,5.50,7.86,6.77,6.74,6.02
SUMENEP,0.32,0.32,3.57,3.57,3.60,3.60,3.90,4.33,4.33,4.39,4.39,4.66
KOTA KEDIRI,0.00,0.00,0.03,0.46,0.56,0.62,0.96,0.99,1.01,1.59,1.59,1.59
KOTA MALANG,0.02,0.02,0.02,0.18,0.18,0.18,0.30,0.30,0.30,0.30,0.33,0.40
KOTA PROBOLINGGO,0.01,0.11,0.19,0.25,0.39,0.39,0.45,0.45,0.48,0.44,0.44,0.44
KOTA MADIUN,0.46,0.45,0.45,0.45,0.46,0.46,0.98,0.98,1.19,1.19,1.34,1.34
KOTA SURABAYA,-0.16,0.18,0.27,0.35,0.39,0.40,0.59,0.61,0.64,0.65,0.65,0.64
KOTA TANGERANG,0.09,0.14,-0.01,-0.01,-0.01,2.11,2.11,2.11,2.11,2.11,2.11,0.97
KOTA CILEGON,-0.33,-0.33,-0.33,-0.33,0.38,1.08,2.30,2.30,2.30,2.02,2.01,2.07
KOTA SERANG,0.25,0.25,0.43,0.43,0.87,0.87,-0.08,0.14,-0.07,0.05,0.16,0.32
SINGARAJA,0.60,0.60,0.60,0.60,0.60,0.60,0.64,1.12,1.23,0.97,1.63,1.24
KOTA DENPASAR,0.39,0.31,-0.28,-0.08,0.62,0.60,2.42,1.60,1.34,1.17,1.71,1.76
KOTA MATARAM,0.00,-0.38,0.10,0.15,0.21,0.21,1.99,2.39,2.43,2.45,2.60,2.60
KOTA BIMA,0.00,0.39,0.53,0.53,0.47,0.50,0.53,0.53,0.53,0.54,0.50,0.50
MAUMERE,0.00,3.30,4.68,4.98,4.98,4.66,4.66,4.42,4.42,4.25,3.84,4.99
KOTA KUPANG,0.00,0.13,0.13,0.25,0.29,0.22,0.87,0.84,0.85,0.75,0.76,0.79
DILI,0.26,0.48,0.63,0.63,0.55,0.63,0.63,0.63,1.21,1.36,1.36,1.33
KOTA PONTIANAK,0.08,0.08,0.96,0.96,0.96,0.96,0.96,0.96,1.02,1.02,1.16,2.06
KOTA SINGKAWANG,-0.01,0.28,0.85,2.39,2.39,1.99,2.11,2.00,1.83,2.74,2.87,3.76
