Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
SAMPIT,0.00,0.17,0.57,0.57,0.57,0.57,0.57,0.62,0.68,0.43,0.43,0.43
KOTA PALANGKA RAYA,-0.03,-0.03,-0.02,-0.02,0.57,0.26,1.15,0.96,0.92,0.83,0.78,0.75
TANJUNG,0.84,1.02,1.85,2.85,3.54,4.39,3.82,4.29,5.02,5.32,6.47,6.38
KOTA BANJARMASIN,0.00,0.12,0.17,1.03,1.03,1.06,1.06,1.06,1.06,1.06,1.06,1.06
KOTA BALIKPAPAN,0.05,1.11,2.08,3.96,5.48,5.29,8.16,7.58,7.74,7.67,7.87,7.70
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
KOTA TARAKAN,0.61,3.30,3.30,3.31,3.31,3.31,5.56,9.35,9.50,9.50,9.50,9.50
KOTA MANADO,0.52,0.01,0.01,-0.09,-0.25,-0.25,-0.29,-0.15,-1.54,-1.54,-1.52,-1.52
KOTA PALU,0.00,1.23,2.09,2.63,2.51,3.38,4.32,4.40,4.54,4.54,4.85,4.97
BULUKUMBA,2.43,2.92,2.92,2.92,2.92,2.92,3.42,3.42,3.42,3.42,3.42,3.42
WATAMPONE,0.07,0.34,0.55,0.47,0.31,0.31,1.10,1.09,1.08,1.08,0.87,0.91
KOTA MAKASSAR,0.00,0.00,0.00,0.00,-0.20,0.07,0.02,-0.03,0.01,0.00,0.04,-0.01
KOTA PARE-PARE,0.00,0.00,0.10,0.10,0.45,0.13,0.48,0.48,0.48,0.48,0.48,0.48
KOTA PALOPO,2.31,2.23,2.23,2.29,2.29,2.66,2.83,2.98,2.98,2.98,2.98,2.98
KOTA KENDARI,0.24,0.24,0.24,0.50,1.29,1.29,1.29,1.35,1.35,1.37,1.37,1.37
KOTA BAU-BAU,0.00,0.03,0.40,0.41,0.41,0.47,0.41,0.61,0.05,0.15,0.15,0.15
KOTA GORONTALO,0.00,0.19,-0.01,-0.73,-0.96,-0.91,0.39,0.29,0.37,0.44,0.44,1.18
MAMUJU,0.08,0.10,0.86,0.86,0.98,0.98,1.01,1.14,1.13,1.20,1.14,0.90
KOTA AMBON,1.00,1.00,1.07,1.07,1.07,1.07,1.60,1.60,1.60,1.60,1.60,1.60
KOTA TUAL,0.09,0.22,0.16,-0.05,-0.07,-0.14,-0.02,-0.02,0.23,0.26,0.75,1.08
KOTA TERNATE,0.66,3.66,3.79,3.79,3.64,3.50,3.06,3.06,3.72,3.12,3.49,3.44
MANOKWARI,0.15,1.43,1.46,1.01,0.27,-0.72,-0.84,0.09,0.09,1.30,1.05,0.82
KOTA SORONG,0.70,1.14,1.55,1.11,1.11,1.24,1.42,1.50,1.58,1.92,1.78,1.65
MERAUKE,0.00,0.00,0.25,0.25,0.60,0.60,0.85,0.85,0.85,0.85,0.85,0.85
KOTA JAYAPURA,0.47,0.73,0.87,1.00,1.17,1.34,2.01,2.21,2.37,2.44,2.51,2.47
