Kota Inflasi,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015
KOTA BANDAR LAMPUNG,0.00,0.20,3.36,3.36,2.67,3.22,3.05,3.24,4.20,4.87,5.25,5.62
KOTA METRO,0.04,-0.10,-0.36,-0.24,0.03,1.34,2.02,2.02,1.92,1.97,1.97,2.08
TANJUNG PANDAN,1.26,1.26,0.28,0.28,0.00,-0.99,-1.92,-1.86,-0.95,-1.03,-1.04,-1.04
KOTA PANGKAL PINANG,0.00,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.53,-0.17,-0.25
KOTA BATAM,-0.28,-0.54,-0.78,-0.99,-2.12,-2.31,-2.47,-2.62,-2.76,-2.88,-3.91,-3.91
KOTA TANJUNG PINANG,1.75,3.46,3.46,3.46,3.46,3.46,3.46,2.69,2.69,2.69,2.69,2.69
DKI JAKARTA,0.06,0.05,0.05,0.05,0.05,0.11,0.14,0.56,0.64,0.78,0.81,0.81
KOTA BOGOR,0.12,0.46,0.56,0.59,0.87,0.94,1.15,1.31,1.85,1.85,1.85,1.85
KOTA SUKABUMI,0.00,0.05,2.27,2.27,2.27,2.42,2.42,2.42,2.42,2.42,2.42,2.42
KOTA BANDUNG,0.00,0.32,2.01,2.02,2.02,3.47,3.47,4.28,4.49,4.49,4.55,6.08
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BEKASI,-0.22,0.06,0.67,0.67,0.92,0.92,1.49,1.75,1.77,1.77,1.77,1.77
KOTA DEPOK,0.00,0.00,-0.15,-0.44,-0.35,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84,-0.84
KOTA TASIKMALAYA,1.39,1.66,2.15,2.13,2.43,2.52,5.63,5.74,6.41,7.23,7.40,7.86
CILACAP,0.92,0.93,1.07,1.49,-0.42,-0.32,-0.05,0.19,0.41,1.16,1.43,1.43
PURWOKERTO,1.62,1.27,1.46,2.77,3.13,3.20,3.55,4.06,4.00,4.03,4.04,4.80
KUDUS,0.00,2.88,4.36,4.36,4.27,4.42,4.43,4.49,4.49,4.65,4.65,4.65
KOTA SURAKARTA,0.00,0.33,0.85,1.77,1.77,1.77,1.77,1.81,1.81,1.89,2.13,2.12
KOTA SEMARANG,0.08,0.44,1.40,1.46,2.28,2.39,2.48,2.52,2.52,2.57,2.73,2.73
KOTA TEGAL,0.80,0.56,0.89,0.69,1.06,0.87,0.62,0.62,2.40,1.70,1.70,3.13
KOTA YOGYAKARTA,0.76,0.84,0.58,0.77,1.35,1.37,1.01,1.33,2.98,3.00,3.20,3.29
JEMBER,0.24,0.24,0.64,0.74,0.05,0.05,0.05,0.05,0.05,-0.86,-0.86,-9.96
BANYUWANGI,0.11,-0.48,-0.54,-0.61,-0.37,1.23,1.20,2.92,2.92,3.36,3.26,3.18
SUMENEP,0.30,-0.16,0.29,1.15,1.15,1.06,1.12,1.12,1.40,0.88,-0.06,-0.61
KOTA KEDIRI,0.61,0.78,1.55,1.81,1.81,1.78,1.59,1.85,1.53,1.26,1.14,0.95
KOTA MALANG,0.36,0.50,0.55,1.11,1.99,2.81,2.79,2.79,2.86,2.92,3.67,3.67
KOTA PROBOLINGGO,0.37,-0.17,2.72,2.81,2.97,2.97,3.06,3.06,3.58,3.48,3.39,3.37
KOTA MADIUN,0.21,0.18,0.25,0.25,0.14,0.18,0.30,0.37,0.41,0.48,0.84,0.88
KOTA SURABAYA,0.00,0.55,1.51,1.54,2.27,2.45,2.48,2.67,2.57,2.33,2.49,2.81
KOTA TANGERANG,0.00,0.00,0.12,2.48,2.25,2.25,2.48,2.83,4.53,5.26,4.98,5.23
KOTA CILEGON,1.96,2.36,2.36,2.87,3.68,3.68,5.21,5.42,5.51,5.93,5.91,6.08
KOTA SERANG,0.28,0.31,0.21,0.18,1.44,1.59,1.60,1.67,1.71,1.69,1.64,1.74
SINGARAJA,0.29,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,1.66,1.66,1.30,1.30
KOTA DENPASAR,1.08,1.96,2.33,2.33,2.39,2.78,0.36,0.36,0.63,0.63,0.63,0.92
KOTA MATARAM,2.05,2.10,2.10,2.10,3.14,3.14,3.15,4.86,6.05,6.05,6.05,6.05
KOTA BIMA,0.04,-0.02,0.32,0.32,1.10,0.60,0.58,0.01,-0.09,-0.02,0.01,-0.24
MAUMERE,0.00,-0.03,-0.26,-0.48,0.60,0.73,0.73,0.73,1.18,1.19,1.31,1.31
KOTA KUPANG,0.44,1.77,4.87,4.93,5.34,5.02,4.89,4.77,4.84,5.25,5.20,5.41
DILI,0.87,2.01,3.10,3.14,3.55,3.67,3.67,4.99,4.99,5.68,5.68,5.68
KOTA PONTIANAK,0.32,0.19,0.19,0.29,0.76,0.72,0.72,0.72,0.84,1.81,1.81,2.02
KOTA SINGKAWANG,0.64,2.11,2.39,2.69,2.98,3.63,3.49,3.78,3.97,5.17,5.51,5.71
SAMPIT,0.15,1.25,0.43,1.53,1.64,2.68,3.07,2.00,2.07,2.13,2.16,2.34
KOTA PALANGKA RAYA,0.34,1.26,3.32,3.55,3.55,3.55,3.99,4.62,6.05,6.05,6.76,6.76
TANJUNG,-1.34,-1.29,0.61,0.85,1.06,-0.46,-1.29,-1.55,6.66,6.78,6.78,6.82
KOTA BANJARMASIN,2.45,2.45,2.45,2.45,2.45,2.12,2.12,2.47,2.97,2.97,3.73,3.73
KOTA BALIKPAPAN,0.19,1.94,2.11,2.06,2.12,2.12,2.11,1.72,2.07,2.48,2.39,2.41
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,0.11,0.37,0.37,0.37,0.37,0.78,0.78
KOTA TARAKAN,0.17,0.17,0.64,0.64,0.71,0.71,1.33,1.33,1.33,1.58,1.58,4.42
KOTA MANADO,-0.11,0.50,0.50,0.41,0.45,0.45,1.19,1.19,1.65,1.51,1.51,1.51
KOTA PALU,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
BULUKUMBA,0.15,0.15,1.59,1.59,1.59,1.59,1.66,1.92,2.53,2.53,3.22,3.22
WATAMPONE,0.04,0.24,0.56,0.60,0.72,0.75,0.76,0.76,0.76,0.76,0.76,0.76
KOTA MAKASSAR,0.00,0.02,0.02,0.02,0.02,0.02,-0.13,-0.23,-0.10,0.92,0.92,1.49
KOTA PARE-PARE,0.09,0.09,0.09,0.16,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
KOTA PALOPO,0.41,-0.32,-0.16,-0.62,-0.54,0.86,1.02,0.93,3.53,3.50,3.40,3.23
KOTA KENDARI,-0.02,-0.28,-0.24,-0.24,-0.24,-0.14,1.25,1.25,1.58,1.54,1.54,1.54
KOTA BAU-BAU,2.36,2.48,2.48,2.37,2.44,2.44,2.53,2.53,2.97,4.80,4.80,5.30
KOTA GORONTALO,-0.68,0.12,0.05,0.05,0.05,0.05,0.52,0.35,0.55,0.55,0.57,0.57
MAMUJU,2.02,3.21,6.38,6.28,6.48,6.96,5.28,5.56,6.52,6.37,8.69,9.30
KOTA AMBON,-0.02,0.02,3.62,4.53,6.65,9.85,10.40,10.91,10.91,10.91,11.14,11.62
KOTA TUAL,-3.09,-2.05,-0.88,-0.88,-0.88,-0.49,-0.49,-0.49,-1.28,-1.28,-1.28,-1.66
KOTA TERNATE,0.15,0.78,0.85,0.85,0.91,3.34,3.02,4.15,4.16,4.15,4.17,4.20
MANOKWARI,1.10,1.20,2.78,2.78,2.78,4.24,4.24,4.24,4.24,4.24,4.24,4.24
KOTA SORONG,0.89,1.67,1.77,1.69,3.24,3.26,3.26,3.34,3.20,3.10,3.49,5.22
MERAUKE,0.72,-1.04,-0.82,-0.80,-0.80,-0.67,-0.61,-0.33,-0.21,-0.21,-0.15,-0.17
KOTA JAYAPURA,0.22,0.67,1.10,1.28,1.44,1.59,1.77,2.00,2.35,2.48,2.54,2.66
