Kota Inflasi,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015
KOTA MEULABOH,-0.45,-0.18,0.18,-0.14,0.50,0.61,0.61,2.43,2.44,2.44,2.23,2.23
KOTA BANDA ACEH,0.00,0.00,0.00,0.09,1.01,1.59,1.59,1.59,1.82,1.82,1.82,1.97
KOTA LHOKSEUMAWE,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.57,0.57,0.57,0.57
KOTA SIBOLGA,3.50,4.34,4.54,4.14,4.14,4.34,4.78,4.51,4.51,4.51,4.51,5.99
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.24,0.31,2.56,2.93,3.32,5.42,5.42,5.42
KOTA MEDAN,0.55,0.64,0.64,0.94,0.94,0.94,3.70,3.70,3.70,3.70,3.82,3.82
KOTA PADANGSIDIMPUAN,0.40,0.40,0.40,0.40,0.40,0.37,0.37,0.37,0.41,0.41,0.41,0.41
KOTA PADANG,0.09,9.05,9.28,8.97,11.30,11.30,11.48,11.50,11.74,11.74,11.74,11.74
KOTA BUKITTINGGI,0.02,0.02,0.51,1.06,1.26,0.91,1.18,1.16,1.67,2.20,2.26,2.26
TEMBILAHAN,0.00,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.69,3.33,3.87,3.87
KOTA PEKANBARU,0.13,1.13,0.99,1.27,1.28,1.23,1.26,1.13,1.16,1.23,0.74,1.38
KOTA DUMAI,0.32,2.15,2.15,2.15,4.90,4.79,5.12,5.53,5.53,5.53,5.53,2.99
BUNGO,-2.38,0.11,0.11,0.11,0.40,0.40,0.56,0.56,-0.31,-0.31,-0.31,0.50
KOTA JAMBI,0.22,0.66,0.93,1.45,1.37,1.97,1.74,2.42,3.22,3.77,3.99,3.35
KOTA PALEMBANG,0.50,3.04,3.04,3.69,3.69,3.70,4.36,4.36,4.37,4.90,5.66,5.98
KOTA LUBUKLINGGAU,1.71,1.71,1.92,3.20,3.43,3.43,4.11,4.11,4.11,3.81,3.81,3.65
KOTA BENGKULU,0.72,1.42,2.49,2.60,2.85,5.42,5.46,6.20,6.38,6.93,7.13,7.09
