Kota Inflasi,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017
KOTA MEULABOH,0.15,2.25,2.25,2.09,1.82,1.18,3.75,3.75,3.81,4.98,5.85,5.85
KOTA BANDA ACEH,0.00,0.00,-0.48,-0.64,-0.91,-0.91,-0.36,-0.47,-0.47,-0.57,-0.72,-0.46
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,2.80,4.50,4.50,4.50,6.07,5.87,5.87
KOTA SIBOLGA,0.58,0.58,-0.16,-0.15,1.12,0.56,0.56,0.58,2.14,2.14,2.14,2.16
KOTA PEMATANG SIANTAR,0.03,-1.18,-1.18,-1.23,-1.23,-0.82,2.76,2.92,2.92,2.89,2.88,4.78
KOTA MEDAN,0.00,0.01,0.09,0.09,-0.01,0.21,0.76,0.76,0.85,0.85,1.03,1.05
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,2.45,4.82,4.82,4.82,4.82,4.82,4.82
KOTA PADANG,0.56,0.27,0.63,0.36,1.80,0.63,1.03,2.01,2.47,2.47,2.47,2.96
KOTA BUKITTINGGI,0.00,0.45,0.45,0.45,0.45,0.59,0.61,0.61,1.76,1.94,1.94,1.94
TEMBILAHAN,0.49,0.49,0.49,0.49,0.49,-0.16,0.06,0.06,0.06,0.06,0.06,0.34
KOTA PEKANBARU,0.32,0.39,0.63,0.73,0.41,0.81,0.82,1.01,0.62,1.15,1.34,2.22
KOTA DUMAI,-1.01,-1.01,-0.75,-0.74,-0.73,-0.73,-0.54,-0.75,-0.75,-0.62,-0.62,-0.62
BUNGO,0.00,0.55,0.55,0.55,0.55,0.55,0.70,0.97,1.96,1.96,1.96,1.96
KOTA JAMBI,0.01,-1.51,0.24,0.15,0.14,2.23,2.30,2.44,2.49,1.65,1.65,5.59
KOTA PALEMBANG,0.04,0.04,0.04,0.06,0.06,0.06,0.19,0.04,-0.07,0.15,0.55,0.54
KOTA LUBUKLINGGAU,0.00,0.40,0.87,0.32,0.53,0.74,0.86,0.70,0.78,1.49,1.80,1.80
KOTA BENGKULU,1.17,1.79,1.64,1.58,1.61,1.67,1.67,1.92,1.92,2.00,2.05,3.07
KOTA BANDAR LAMPUNG,-1.03,-1.10,-1.22,-1.22,-1.71,-1.71,-0.41,-0.41,-0.41,-0.41,-0.08,-0.08
KOTA METRO,-0.09,-0.20,-0.20,-0.28,-1.11,-1.65,-1.03,-1.61,-1.57,-1.23,-1.25,-1.25
TANJUNG PANDAN,0.00,1.03,0.99,2.75,3.69,6.35,6.35,6.33,6.33,7.16,7.12,7.12
KOTA PANGKAL PINANG,0.19,0.03,0.08,0.01,0.02,0.09,0.09,0.09,0.09,0.09,0.09,0.09
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,-0.18
KOTA TANJUNG PINANG,-0.26,0.03,0.10,0.15,0.21,0.21,0.19,0.19,-0.64,-0.64,-1.14,-1.73
DKI JAKARTA,0.39,0.39,0.55,0.82,0.88,0.91,1.31,1.52,1.52,1.65,1.67,1.69
KOTA BOGOR,2.22,4.42,9.16,9.16,9.21,10.82,11.48,13.79,24.97,25.44,24.31,23.90
KOTA SUKABUMI,0.00,-1.26,0.56,1.20,1.20,1.20,13.46,13.46,13.46,13.46,13.46,12.68
KOTA BANDUNG,-0.18,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,1.95,1.95,3.77
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-0.10,-0.10,-0.10,-0.10
KOTA BEKASI,0.11,0.04,0.11,0.19,0.84,3.13,4.35,4.37,4.37,4.42,4.60,4.61
KOTA DEPOK,0.00,0.11,0.60,0.60,0.90,1.59,9.02,10.33,10.49,10.49,10.49,10.93
KOTA TASIKMALAYA,1.31,2.39,3.23,3.22,2.77,3.81,3.73,3.67,4.24,4.42,5.06,4.80
CILACAP,0.61,1.25,2.10,2.02,2.38,2.80,2.44,2.91,3.22,3.24,3.22,3.16
PURWOKERTO,-0.16,-0.15,-0.04,1.25,1.18,1.31,1.72,1.55,1.99,2.18,1.79,1.97
KUDUS,0.00,0.00,0.00,0.00,0.00,0.64,0.64,0.64,0.64,0.64,0.64,0.64
KOTA SURAKARTA,0.00,-0.16,0.12,0.73,0.58,0.62,0.78,1.29,1.29,1.16,1.13,1.20
KOTA SEMARANG,0.89,0.27,0.27,0.66,0.90,0.90,1.30,1.30,1.30,1.62,1.64,1.64
KOTA TEGAL,0.05,2.46,3.23,3.30,3.33,3.52,3.64,3.43,3.87,3.70,3.90,4.00
KOTA YOGYAKARTA,0.15,0.26,0.29,0.59,0.84,0.79,0.98,1.27,1.32,0.97,0.97,1.20
JEMBER,0.36,1.49,1.49,1.54,1.54,1.54,1.81,1.81,1.81,1.81,1.90,1.90
BANYUWANGI,0.02,0.14,1.26,1.26,2.79,2.79,2.79,2.79,2.79,4.00,4.00,4.18
SUMENEP,1.81,1.91,2.13,3.41,3.84,2.04,1.56,1.56,1.56,1.87,2.49,2.49
KOTA KEDIRI,0.11,0.66,0.52,0.46,0.28,0.03,0.03,0.03,-0.08,-0.05,0.29,0.34
KOTA MALANG,0.05,1.38,1.38,1.38,1.87,2.10,2.51,2.51,2.52,2.52,2.52,2.52
KOTA PROBOLINGGO,0.00,-0.02,-0.02,0.12,0.12,0.12,0.12,0.12,0.72,2.47,2.14,3.45
KOTA MADIUN,1.97,1.97,2.00,2.35,2.35,1.61,2.07,2.08,2.29,2.13,2.13,2.15
KOTA SURABAYA,0.88,1.12,1.46,1.52,1.62,1.79,1.52,1.56,1.55,1.75,1.84,1.76
KOTA TANGERANG,-0.11,-0.11,-0.61,-0.55,-0.52,-1.04,0.63,2.76,2.18,2.11,2.19,2.19
KOTA CILEGON,0.00,0.96,1.25,1.16,1.15,1.85,2.06,2.17,1.96,2.23,2.21,2.21
KOTA SERANG,0.04,0.02,0.02,0.13,0.09,0.09,0.13,1.33,1.37,2.64,2.59,2.93
SINGARAJA,0.00,0.47,0.18,0.18,0.18,0.68,0.68,1.58,2.75,2.75,3.23,4.21
KOTA DENPASAR,0.74,2.85,2.74,3.01,0.82,1.76,3.56,3.44,3.44,3.61,3.61,3.39
KOTA MATARAM,0.11,0.43,0.46,0.46,0.53,1.02,1.39,1.67,1.78,1.78,1.84,1.84
