Kota Inflasi,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017
KOTA BIMA,-0.33,-0.71,-0.80,-0.79,0.25,-0.02,0.11,0.04,0.26,0.28,0.28,0.24
MAUMERE,0.57,4.03,3.60,3.47,3.47,3.59,4.40,4.68,4.68,4.68,4.89,5.23
KOTA KUPANG,0.01,0.11,0.91,1.94,1.94,2.02,1.99,2.69,2.75,2.60,2.91,2.94
DILI,0.00,0.35,1.96,4.53,4.53,4.53,4.50,3.81,4.04,4.04,4.04,4.04
KOTA PONTIANAK,-0.71,-0.68,-0.78,-1.00,-1.15,-1.15,-1.34,-1.50,-6.26,-6.26,-6.26,-6.23
KOTA SINGKAWANG,10.53,10.53,10.41,10.12,10.46,14.08,14.08,14.06,14.28,14.28,15.05,14.66
SAMPIT,0.36,0.84,0.93,0.96,0.33,1.73,1.40,1.38,1.64,1.70,2.07,2.07
KOTA PALANGKA RAYA,0.00,0.00,0.00,1.08,1.08,1.08,2.24,2.24,2.66,2.66,2.78,2.83
TANJUNG,-0.11,1.55,1.54,1.52,1.29,1.40,2.24,2.22,2.52,2.37,2.40,2.35
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,-0.15,-0.15,1.24,1.24,1.24,1.41,1.41
KOTA BALIKPAPAN,0.06,-0.09,0.10,0.03,0.26,0.02,-0.42,-0.35,-0.28,0.05,0.23,0.44
KOTA SAMARINDA,1.87,1.87,2.07,2.07,3.02,3.02,3.02,3.02,3.51,3.51,3.51,3.51
KOTA TARAKAN,1.17,1.58,2.11,2.11,1.48,2.83,2.41,2.66,2.66,2.79,2.79,3.22
KOTA MANADO,-0.27,-0.27,-0.44,-0.44,-0.44,1.53,1.53,1.80,1.80,1.80,1.13,1.13
KOTA PALU,-0.11,-0.11,-0.11,-0.11,-0.45,-0.45,0.26,0.47,0.34,-0.04,-0.23,-0.31
BULUKUMBA,-0.50,-1.53,-1.53,-1.53,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
WATAMPONE,0.06,0.06,0.06,0.08,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.32
KOTA MAKASSAR,0.00,0.00,-0.37,-0.37,-0.27,-1.34,-0.97,-0.97,-0.97,-0.86,-0.86,-0.86
KOTA PARE-PARE,0.05,0.44,0.44,0.44,0.44,0.44,1.43,1.43,1.43,1.43,1.43,1.43
KOTA PALOPO,-0.09,-0.14,-0.10,-0.01,0.00,0.06,0.30,0.77,0.77,0.84,0.85,0.85
KOTA KENDARI,1.47,1.71,1.69,1.86,2.09,2.13,2.26,2.35,2.35,2.35,2.35,2.43
KOTA BAU-BAU,0.09,0.17,1.48,1.22,1.09,1.03,0.78,0.96,1.07,1.07,1.13,1.13
KOTA GORONTALO,0.14,0.14,1.62,1.61,1.61,1.91,0.08,0.08,0.08,0.08,0.08,0.08
MAMUJU,0.55,1.58,1.82,1.75,1.75,1.75,1.76,2.67,3.25,3.25,3.25,3.18
KOTA AMBON,0.01,0.14,0.14,0.14,0.14,1.18,1.18,1.18,1.23,1.37,1.37,1.79
KOTA TUAL,0.28,0.28,0.28,0.28,0.28,0.81,1.83,0.46,0.46,0.46,0.46,0.97
KOTA TERNATE,0.00,0.02,0.23,0.23,0.23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
MANOKWARI,0.00,0.24,-0.06,-0.66,-0.66,-0.66,-0.66,-0.66,-0.66,-0.12,-0.12,0.18
KOTA SORONG,0.50,0.75,2.42,2.31,3.29,3.41,3.41,3.64,3.57,3.68,3.97,4.31
MERAUKE,0.00,-0.02,-0.02,-0.02,0.27,-1.16,-1.12,3.71,3.44,3.44,3.62,3.62
KOTA JAYAPURA,0.30,0.50,0.75,0.87,0.94,1.22,1.95,2.29,2.52,2.71,2.76,2.95
