Kota Inflasi,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.48,0.48,6.96,6.96,6.96
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.67,0.67,0.67,0.67
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,5.72,5.72,5.72,5.72,5.72,5.72
KOTA SIBOLGA,0.14,0.14,0.14,0.14,0.14,0.14,0.14,2.26,2.26,2.26,2.26,2.26
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,6.72,6.72,6.72,6.72,6.72,6.72
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.32,1.34,1.34,1.34,1.34,1.34
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,10.62,10.62,10.62,10.62
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,1.33,2.88,2.88,2.95,2.95,2.95
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,3.69,3.69,3.69,3.69
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.64,4.64,4.64,4.64,4.64
KOTA PEKANBARU,0.00,0.00,0.00,0.00,0.00,0.00,2.52,4.24,4.24,4.24,4.24,4.24
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.45,4.45,4.45,4.45
BUNGO,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.95,0.95,0.95,0.95,0.95
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,2.41,2.41,2.41,2.41,2.41,2.41
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.07,0.07,0.70,1.98,3.71,3.71,3.71,3.71
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.99,1.56,4.10,4.10,4.10,4.10
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,1.09,1.09,1.09,1.09,1.09,1.09
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,9.29,9.29,9.29,9.29
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.85,5.81,5.81,5.81,5.81
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.66,10.66,10.66,10.66,10.66
