Kota Inflasi,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016
KOTA TANGERANG,0.08,0.08,0.12,0.13,0.13,0.13,-0.04,-0.04,1.24,1.24,1.11,1.01
KOTA CILEGON,1.09,1.09,1.30,1.30,1.38,1.60,1.85,3.71,3.75,3.73,3.71,6.26
KOTA SERANG,0.15,0.18,0.19,0.19,0.20,0.20,0.58,1.11,3.92,3.94,4.11,4.13
SINGARAJA,0.35,0.38,0.74,0.74,0.74,0.74,0.95,3.93,6.71,6.24,6.24,6.24
KOTA DENPASAR,-0.02,0.03,0.21,0.22,0.30,0.24,0.36,3.17,2.91,3.13,3.10,3.10
KOTA MATARAM,0.01,0.00,0.32,0.32,0.44,0.47,1.83,2.10,2.08,2.32,2.39,2.40
KOTA BIMA,-0.03,1.21,1.21,1.22,1.22,1.25,1.30,1.85,1.90,2.30,2.40,2.40
MAUMERE,0.00,0.01,0.00,0.06,0.06,0.02,0.02,0.11,1.55,1.56,1.57,1.57
KOTA KUPANG,0.13,0.07,-0.18,-0.13,-0.14,-0.17,0.07,1.45,2.08,2.17,2.29,3.04
DILI,0.05,0.12,0.15,0.15,0.15,0.18,3.72,4.70,4.70,4.93,4.98,4.98
KOTA PONTIANAK,0.03,0.21,0.25,0.23,0.23,0.10,5.30,5.28,5.28,4.95,4.84,5.04
KOTA SINGKAWANG,-0.05,-0.05,0.14,0.48,0.66,0.66,0.72,6.23,6.17,6.23,6.26,6.20
SAMPIT,0.00,0.17,0.11,0.47,0.46,0.75,1.11,1.75,2.73,2.79,3.39,3.25
KOTA PALANGKA RAYA,-0.20,-0.20,-0.20,-0.20,-0.25,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23
TANJUNG,1.11,1.26,1.52,1.64,1.46,1.30,1.20,2.93,3.44,3.30,3.35,3.90
KOTA BANJARMASIN,0.03,0.04,0.13,0.08,0.07,-0.10,2.15,2.10,2.05,2.01,1.99,1.98
KOTA BALIKPAPAN,0.20,0.56,0.66,0.73,1.22,1.27,1.88,2.16,2.93,3.21,3.14,3.25
KOTA SAMARINDA,0.62,0.62,0.64,0.64,0.64,0.80,0.80,2.43,2.43,2.43,2.35,2.35
KOTA TARAKAN,0.00,0.08,0.10,0.15,0.15,0.18,0.30,0.31,0.36,0.79,0.88,1.01
KOTA MANADO,0.04,0.07,0.11,0.13,0.16,0.12,2.80,2.80,5.14,5.14,5.13,4.62
KOTA PALU,-0.21,-0.21,-0.21,-0.04,0.12,0.16,0.32,0.32,0.21,0.16,0.14,0.14
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.43,0.57,3.93,3.99,3.99,3.99,3.89
WATAMPONE,0.01,0.06,0.11,0.11,0.11,0.13,0.14,0.12,0.28,0.38,0.40,0.40
KOTA MAKASSAR,0.21,0.21,0.21,0.21,0.21,0.21,2.78,2.78,3.14,3.14,3.14,3.14
KOTA PARE-PARE,0.00,0.45,0.48,0.44,0.58,1.05,1.08,1.25,1.23,1.21,1.26,1.19
KOTA PALOPO,0.07,0.93,0.94,1.58,1.58,1.50,7.26,7.77,8.01,8.06,8.09,8.11
KOTA KENDARI,0.08,0.08,-0.03,1.71,1.70,1.70,1.80,5.86,5.69,5.76,5.76,5.76
KOTA BAU-BAU,0.02,0.02,0.02,0.03,0.03,0.31,0.31,0.80,0.80,0.81,0.78,0.84
KOTA GORONTALO,0.01,0.27,0.37,0.37,0.43,0.07,0.00,1.76,1.87,1.98,1.99,3.18
MAMUJU,0.00,-0.35,-0.54,-0.49,0.02,-0.12,0.15,0.18,0.17,8.54,8.10,8.08
KOTA AMBON,-0.24,0.04,0.04,1.51,2.33,2.66,2.23,2.27,2.29,2.47,2.48,2.52
KOTA TUAL,0.19,0.23,0.27,0.27,0.25,0.26,2.75,2.75,3.59,3.71,3.70,3.77
KOTA TERNATE,-0.05,0.30,-0.06,0.04,0.10,0.27,1.26,2.65,2.74,2.77,2.95,2.81
MANOKWARI,0.00,0.28,0.28,0.34,0.34,0.43,0.43,0.54,0.54,1.01,1.01,1.02
KOTA SORONG,0.02,0.02,-0.14,-0.15,-0.11,-0.11,-0.11,1.22,1.23,1.32,1.37,1.36
MERAUKE,0.04,0.00,0.05,0.04,0.04,0.17,0.18,0.32,0.30,0.32,0.37,0.32
KOTA JAYAPURA,0.15,0.21,0.24,0.26,0.29,0.32,0.84,2.02,2.55,2.66,2.68,2.73
