Kota Inflasi,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016
KOTA MEULABOH,0.07,0.10,0.49,0.49,0.48,0.46,2.31,2.26,2.58,2.59,2.59,2.60
KOTA BANDA ACEH,0.23,0.30,0.30,0.30,0.22,0.32,0.95,2.98,2.97,2.97,2.97,2.97
KOTA LHOKSEUMAWE,0.29,0.32,0.54,0.54,0.88,0.90,0.96,0.78,0.90,0.33,0.48,0.39
KOTA SIBOLGA,0.23,0.39,0.39,0.39,0.39,0.44,0.44,2.04,2.78,2.79,2.51,2.54
KOTA PEMATANG SIANTAR,0.04,-0.17,-0.09,-0.09,0.20,0.04,0.04,0.21,0.27,0.24,0.27,0.40
KOTA MEDAN,0.05,0.18,0.08,0.05,0.11,0.70,1.56,4.01,4.72,4.70,4.65,4.70
KOTA PADANGSIDIMPUAN,0.10,0.15,0.15,0.15,0.15,0.15,0.39,2.19,2.19,2.19,2.19,2.19
KOTA PADANG,0.00,-0.10,-0.10,-0.10,-0.10,-0.10,-0.09,4.90,4.99,4.99,4.99,4.82
KOTA BUKITTINGGI,0.03,0.06,0.05,0.06,0.09,0.09,3.14,5.45,5.42,5.37,5.36,5.32
TEMBILAHAN,0.39,0.79,0.61,0.61,0.60,0.70,1.84,2.08,0.17,0.41,0.42,0.30
KOTA PEKANBARU,0.15,1.43,1.56,1.55,1.58,1.49,2.13,2.17,2.16,2.16,3.92,3.98
KOTA DUMAI,0.10,0.10,0.10,0.11,0.11,0.58,0.64,0.64,0.66,0.66,0.71,0.71
BUNGO,0.69,0.69,0.71,0.71,0.72,0.94,0.87,2.97,3.15,3.16,3.18,3.16
KOTA JAMBI,0.57,0.36,0.37,0.38,0.28,0.52,3.06,4.88,5.09,5.06,6.36,6.80
KOTA PALEMBANG,-0.14,-0.49,-0.42,-0.26,-0.11,0.14,3.02,3.03,3.08,3.10,3.14,3.17
KOTA LUBUKLINGGAU,-0.16,-0.07,-0.04,-0.07,-0.07,-0.07,1.55,1.87,1.89,1.94,1.86,1.84
KOTA BENGKULU,0.15,0.41,0.41,0.59,0.56,0.56,0.95,4.91,6.38,6.37,6.68,6.69
KOTA BANDAR LAMPUNG,0.00,0.09,0.40,0.30,0.30,0.30,0.15,0.20,3.57,3.57,3.54,3.55
KOTA METRO,0.00,-0.02,0.10,0.10,0.10,0.18,0.18,4.34,5.56,6.12,6.14,6.14
TANJUNG PANDAN,0.50,0.50,0.50,0.68,0.64,0.73,1.04,3.21,3.32,3.33,3.32,3.31
KOTA PANGKAL PINANG,0.06,0.10,0.23,0.87,0.92,0.97,1.00,3.80,3.96,3.99,4.06,4.04
KOTA BATAM,0.31,0.42,0.50,0.76,0.77,1.56,1.96,2.40,2.37,2.37,2.34,3.07
KOTA TANJUNG PINANG,0.26,0.89,0.89,0.89,0.95,1.35,1.64,1.86,1.84,1.84,2.00,2.12
DKI JAKARTA,0.08,0.08,0.10,0.11,0.11,0.11,0.12,1.10,1.10,1.13,0.93,0.86
KOTA BOGOR,0.08,0.08,0.12,0.13,0.15,0.23,0.23,0.29,0.31,0.29,0.53,0.76
KOTA SUKABUMI,0.05,0.05,0.03,0.03,0.02,0.02,0.35,0.74,0.89,0.90,0.89,0.89
KOTA BANDUNG,0.10,0.04,0.07,0.07,0.09,-0.69,0.17,0.27,0.26,0.20,0.22,0.25
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.02,0.31,1.47,1.47,1.47,1.47,1.55
KOTA BEKASI,0.01,0.00,-0.38,-0.38,-0.38,-0.36,-0.36,3.99,4.96,4.95,4.94,4.94
KOTA DEPOK,0.80,0.91,0.91,0.91,0.91,0.91,1.06,1.10,1.10,1.12,1.12,1.11
KOTA TASIKMALAYA,-0.02,0.02,0.10,0.17,0.12,0.12,0.23,0.73,1.35,1.35,1.16,1.37
CILACAP,0.13,0.17,0.23,0.24,0.29,0.29,0.88,2.33,3.36,3.36,3.44,3.41
PURWOKERTO,-0.12,0.06,0.20,0.07,0.04,0.10,-0.02,0.57,0.46,0.65,0.70,0.70
KUDUS,-0.06,-0.06,-0.06,-0.03,-0.03,0.28,0.80,2.15,2.15,2.13,2.00,1.53
KOTA SURAKARTA,0.04,0.03,0.04,0.46,0.47,0.59,0.61,1.84,1.89,1.89,1.89,1.85
KOTA SEMARANG,0.73,0.80,0.83,0.83,0.83,0.83,2.22,2.76,3.75,3.75,3.75,3.75
KOTA TEGAL,0.34,0.46,0.45,0.62,0.62,0.62,3.21,3.55,3.57,5.34,5.34,5.39
KOTA YOGYAKARTA,0.07,0.06,0.04,0.17,0.20,0.24,0.87,1.40,2.21,2.69,2.61,2.40
JEMBER,0.27,0.34,0.56,0.56,0.55,0.35,0.38,2.46,4.19,4.23,4.29,4.30
BANYUWANGI,1.46,1.46,1.39,1.39,1.23,1.23,3.08,3.82,4.27,4.23,4.30,4.30
SUMENEP,0.41,0.36,0.51,0.68,0.68,0.78,0.53,0.58,1.30,2.32,2.45,2.45
KOTA KEDIRI,-0.18,-0.21,-0.17,-0.15,-0.13,-0.05,-0.06,0.95,2.29,2.32,2.43,2.47
KOTA MALANG,0.10,0.10,0.20,0.21,0.23,0.40,0.54,3.24,6.71,6.77,6.77,6.72
KOTA PROBOLINGGO,0.12,0.17,0.04,0.74,0.73,0.73,1.98,3.40,3.95,3.95,3.95,4.09
KOTA MADIUN,0.14,0.20,0.26,0.27,0.30,0.30,0.67,1.60,2.38,2.88,2.87,2.92
KOTA SURABAYA,-0.06,0.13,0.21,-0.02,0.17,0.34,0.79,2.89,4.47,4.79,4.92,4.98
