Kota Inflasi,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,3.26,3.26,3.83,3.83,3.83,3.83
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.00,1.01,4.25,4.25,4.25,4.25,4.25
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26
KOTA SIBOLGA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,2.91,2.91,2.91,2.91
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.94,2.34,6.74,7.91,7.91,7.91,7.91
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,3.21,3.21,3.21,3.21
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.77,7.90,7.90,7.90,7.90
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,4.81,4.81,4.77,4.77,4.77,4.77
TEMBILAHAN,0.69,1.40,1.07,1.07,1.07,1.07,1.77,1.77,-1.64,-1.64,-1.64,-1.64
KOTA PEKANBARU,0.00,2.03,2.33,2.33,2.33,2.33,2.65,2.86,2.86,2.86,5.13,5.13
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BUNGO,0.00,0.28,0.28,0.28,0.28,0.28,0.28,5.06,5.06,5.06,5.07,5.07
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,0.06,3.29,3.83,3.83,5.46,5.60
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,4.53,4.53,4.53,4.53,4.53,4.53
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.98,0.98,0.98,0.98,0.98
KOTA BENGKULU,0.01,0.01,0.01,0.01,0.01,0.01,0.64,6.20,8.60,8.60,8.60,8.60
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,5.45,5.45,5.45,5.45
KOTA METRO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.12,7.92,7.92,7.92,7.92
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24,4.24,4.24,4.24,4.24
KOTA PANGKAL PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.76,4.13,4.13,4.13,4.13
KOTA BATAM,0.00,0.00,0.00,0.35,0.35,1.05,1.76,2.50,2.50,2.50,2.50,2.50
KOTA TANJUNG PINANG,0.00,0.82,0.82,0.82,0.82,1.69,2.56,2.91,2.91,2.91,2.91,2.91
DKI JAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,2.14,2.14,2.14,2.14
KOTA BOGOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA SUKABUMI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.58,0.58,0.58
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.94,0.94,0.94,0.94,0.94
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,1.67,1.67,1.67
KOTA BEKASI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.92,9.76,9.76,9.76,9.76
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.85,1.85,1.85,1.85
CILACAP,0.00,0.00,0.00,0.00,0.00,0.00,0.94,3.37,5.22,5.22,5.22,5.22
PURWOKERTO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,1.77,1.77,1.77,1.77
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,1.73,1.73,1.73,1.73
KOTA SURAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,2.02,2.02,2.02,2.02
KOTA SEMARANG,0.00,0.00,0.00,0.00,0.00,0.00,2.20,3.04,4.66,4.66,4.66,4.66
KOTA TEGAL,0.00,0.00,0.00,0.00,0.00,0.00,4.12,4.67,4.69,7.31,7.31,7.31
KOTA YOGYAKARTA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,2.02,2.61,2.61,2.61
JEMBER,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.09,7.49,7.49,7.49,7.49
BANYUWANGI,3.74,3.74,3.74,3.74,3.74,3.74,6.50,8.21,9.54,9.54,9.54,9.54
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.31,2.31,2.31
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,4.25,4.25,4.25,4.25
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,10.77,10.80,10.80,10.80
