Kota Inflasi,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018
KOTA MEULABOH,0.21,0.31,0.87,1.47,1.48,1.47,1.48,1.69,2.29,2.33,1.98,2.11
KOTA BANDA ACEH,0.06,0.10,0.10,0.13,0.14,0.14,0.68,3.26,3.26,3.38,3.27,3.29
KOTA LHOKSEUMAWE,0.00,-0.10,-0.10,-0.56,-0.56,-0.56,-0.24,-0.12,-0.12,0.17,0.17,0.47
KOTA SIBOLGA,0.41,0.55,0.58,0.58,0.58,1.11,1.11,1.12,11.95,11.98,12.07,12.12
KOTA PEMATANG SIANTAR,0.30,0.41,0.57,0.57,0.95,0.75,0.76,0.80,0.83,2.04,2.04,2.39
KOTA MEDAN,0.17,0.18,0.17,0.14,0.16,0.16,1.02,1.03,1.08,1.24,1.28,1.28
KOTA PADANGSIDIMPUAN,0.11,-0.08,-0.08,-0.04,0.00,0.04,0.23,0.33,2.62,2.62,2.65,2.66
KOTA PADANG,0.43,0.51,0.58,0.59,0.64,0.64,2.21,2.26,2.36,2.39,2.38,2.43
KOTA BUKITTINGGI,0.15,0.18,0.18,0.24,0.42,0.44,0.58,0.95,3.45,3.64,4.11,4.10
TEMBILAHAN,-0.06,-0.10,0.02,0.02,0.14,0.14,0.31,0.31,0.68,0.68,0.80,1.04
KOTA PEKANBARU,0.07,0.28,0.29,0.33,0.23,0.22,0.44,0.80,0.91,0.99,1.03,0.98
KOTA DUMAI,0.07,0.08,-0.06,-0.06,0.01,0.36,0.36,0.48,0.98,1.01,0.61,0.61
BUNGO,0.05,0.18,0.77,0.87,1.14,1.14,1.56,1.82,3.13,3.59,3.67,3.70
KOTA JAMBI,-0.15,0.44,0.44,0.46,0.48,0.47,1.82,3.20,5.13,5.01,5.32,5.87
KOTA PALEMBANG,0.31,0.29,0.31,0.37,0.40,0.38,0.92,1.16,1.22,2.32,2.38,3.16
KOTA LUBUKLINGGAU,0.00,0.02,0.08,0.06,0.07,0.15,0.41,2.04,2.22,2.25,2.27,2.33
KOTA BENGKULU,0.31,0.36,0.36,0.36,0.40,0.42,0.45,0.88,0.98,0.93,0.93,0.93
KOTA BANDAR LAMPUNG,1.17,1.17,1.17,1.17,1.16,1.16,1.47,5.36,6.29,6.28,6.28,6.30
KOTA METRO,-0.01,0.01,0.02,-0.01,-0.11,-0.08,-0.06,4.18,4.46,4.52,4.64,4.60
TANJUNG PANDAN,-0.01,-0.01,0.32,0.34,0.34,0.33,0.32,2.89,5.47,5.51,5.67,5.87
KOTA PANGKAL PINANG,0.90,0.92,0.92,0.87,0.88,0.92,1.27,2.80,3.05,3.08,3.29,3.26
KOTA BATAM,0.76,0.63,0.67,0.68,0.68,0.98,0.98,4.75,4.79,4.79,4.79,4.79
KOTA TANJUNG PINANG,0.04,0.04,0.02,0.04,0.08,0.10,1.31,1.33,3.02,3.02,3.02,3.02
DKI JAKARTA,-0.01,0.00,-0.05,-0.07,0.21,0.19,1.82,1.88,1.97,1.98,1.99,2.00
KOTA BOGOR,-0.12,-0.08,-0.08,-0.10,-0.10,-0.10,0.04,3.58,3.63,4.13,4.18,4.66
KOTA SUKABUMI,-0.05,-0.01,0.05,0.06,0.06,0.87,1.65,3.76,3.85,3.92,4.01,4.10
KOTA BANDUNG,0.69,0.73,1.55,2.15,2.15,2.15,2.44,3.03,3.14,3.09,3.16,3.59
KOTA CIREBON,0.02,0.02,0.02,0.02,0.02,0.37,0.36,0.37,0.67,0.67,0.82,0.84
KOTA BEKASI,0.00,0.27,0.28,0.28,0.28,0.31,2.78,2.78,4.21,4.26,4.26,4.60
KOTA DEPOK,0.00,0.05,0.05,0.05,0.05,0.05,0.33,6.22,6.57,6.57,6.44,6.46
KOTA TASIKMALAYA,0.09,0.08,0.08,0.08,0.08,0.08,0.11,0.11,1.23,1.23,1.23,1.23
CILACAP,0.08,0.03,0.05,0.07,0.08,0.36,1.40,1.38,1.54,1.63,1.65,1.65
PURWOKERTO,0.44,0.50,0.60,0.56,0.82,0.92,1.24,1.71,1.85,1.92,1.76,1.68
KUDUS,0.16,0.19,0.19,0.20,0.20,0.31,-0.72,-0.49,-0.20,-0.20,-0.06,-0.02
KOTA SURAKARTA,0.01,-0.01,0.09,0.09,0.09,0.12,0.34,1.31,1.45,2.00,2.02,2.04
KOTA SEMARANG,0.07,0.04,0.06,0.30,0.31,0.65,0.53,0.75,1.76,1.81,1.84,1.86
KOTA TEGAL,0.05,0.27,0.43,0.51,0.50,0.64,1.45,2.12,2.49,2.47,2.47,2.57
KOTA YOGYAKARTA,0.05,0.06,0.09,0.12,0.13,0.16,1.13,2.17,3.11,3.18,3.24,3.34
JEMBER,0.12,0.15,0.21,0.29,0.36,0.67,0.84,2.04,2.55,2.56,2.61,2.70
BANYUWANGI,0.20,0.36,0.38,0.40,0.37,0.43,0.90,3.66,4.78,5.10,4.94,4.99
SUMENEP,0.11,0.14,0.57,0.69,0.70,0.75,1.04,2.26,2.26,2.30,2.30,2.36
KOTA KEDIRI,0.02,0.03,0.03,0.03,0.03,0.03,0.05,0.05,3.05,3.07,3.15,3.16
KOTA MALANG,0.09,0.10,0.12,0.13,0.13,0.19,0.19,3.59,3.60,3.60,3.60,3.86
KOTA PROBOLINGGO,0.27,0.25,0.30,0.31,-0.04,-0.04,0.05,-0.01,-0.01,-0.01,-0.03,0.13
KOTA MADIUN,0.06,0.14,0.12,0.13,0.34,0.32,0.57,1.12,2.14,2.22,2.26,2.33
KOTA SURABAYA,0.02,0.08,0.08,0.11,0.11,0.08,0.25,2.37,3.73,3.76,3.76,3.77
KOTA TANGERANG,0.32,0.29,0.30,0.34,0.39,0.73,1.27,2.87,4.66,4.76,4.76,4.71
KOTA CILEGON,-0.01,0.37,0.37,0.14,0.14,0.42,0.42,4.30,4.30,4.31,4.40,4.40
KOTA SERANG,-0.02,-0.07,-0.05,0.01,0.10,0.14,3.78,3.79,3.91,3.95,4.04,4.03
SINGARAJA,0.05,0.41,0.66,0.96,1.09,1.22,1.35,9.84,9.87,10.21,10.26,10.51
KOTA DENPASAR,0.11,0.15,0.23,0.24,0.78,0.71,2.46,2.52,3.10,3.16,3.87,3.89
KOTA MATARAM,0.15,0.32,0.35,0.36,0.45,0.59,0.93,0.92,0.95,0.96,0.97,0.97
KOTA BIMA,0.10,0.20,0.22,0.30,0.30,0.51,0.88,0.99,0.75,0.68,0.84,0.97
MAUMERE,0.52,0.53,0.53,0.53,0.55,0.55,0.55,1.05,1.54,1.54,1.73,1.73
KOTA KUPANG,0.15,0.17,0.26,0.24,0.24,0.27,1.05,1.44,1.46,1.51,1.51,1.53
DILI,0.02,0.08,0.60,0.61,0.89,0.89,5.11,5.20,5.27,5.27,5.47,5.49
KOTA PONTIANAK,0.72,1.40,1.43,1.40,1.38,1.52,2.04,2.13,2.43,2.44,2.41,2.49
KOTA SINGKAWANG,0.01,1.46,1.65,1.80,1.86,2.29,3.60,3.69,3.56,3.91,4.31,4.20
SAMPIT,0.13,0.38,0.62,0.90,0.84,0.84,1.18,2.13,2.70,2.63,3.02,2.96
KOTA PALANGKA RAYA,2.09,2.13,2.30,2.19,2.19,2.19,2.33,2.36,4.41,4.50,4.55,4.56
TANJUNG,0.22,0.08,0.03,0.12,-0.03,0.08,0.25,0.90,0.98,1.06,1.11,1.21
KOTA BANJARMASIN,0.16,0.23,0.23,0.24,0.31,0.32,2.54,3.25,5.05,5.07,5.51,5.46
KOTA BALIKPAPAN,0.13,0.13,0.15,0.15,0.35,0.34,2.40,2.69,2.70,2.80,2.98,2.90
KOTA SAMARINDA,0.01,0.01,0.02,0.02,0.07,0.07,0.25,0.39,1.47,1.63,1.71,1.69
KOTA TARAKAN,0.20,0.20,0.21,0.21,1.40,1.41,1.41,1.42,1.42,1.48,1.48,1.20
KOTA MANADO,0.18,0.65,1.05,1.01,1.25,1.29,1.38,3.11,7.36,7.80,7.83,8.01
KOTA PALU,0.15,0.15,0.27,0.26,0.25,0.47,1.05,0.93,1.06,1.13,1.26,1.24
BULUKUMBA,0.00,0.00,0.13,-0.19,-0.19,-0.14,-0.14,-0.31,-0.03,-0.03,0.17,0.26
WATAMPONE,0.00,0.13,0.21,0.24,0.37,0.44,0.44,0.63,0.63,0.86,0.87,0.91
KOTA MAKASSAR,-0.14,-0.14,-0.14,0.08,0.08,0.15,0.85,0.80,0.89,1.02,2.09,2.18
KOTA PARE-PARE,-0.09,-0.04,-0.04,0.05,0.05,3.44,5.24,5.24,5.24,5.24,5.24,5.24
KOTA PALOPO,0.01,0.05,0.05,0.05,0.05,0.11,1.66,1.72,1.72,1.72,1.72,1.72
KOTA KENDARI,0.01,0.01,0.30,0.30,0.42,0.48,0.62,0.64,0.69,0.70,0.75,0.81
KOTA BAU-BAU,0.63,0.92,0.93,0.95,0.96,0.93,1.06,5.34,8.39,8.39,8.41,8.42
KOTA GORONTALO,0.01,0.03,-0.11,-0.10,-0.14,-0.14,4.20,4.18,4.17,4.11,4.19,4.17
MAMUJU,0.22,0.22,0.38,0.23,0.28,0.38,0.91,0.98,0.84,0.98,1.58,1.61
KOTA AMBON,0.55,0.55,0.55,0.56,0.56,1.00,1.19,1.52,1.58,1.67,1.67,1.67
KOTA TUAL,0.01,0.33,0.40,0.40,0.45,0.45,0.60,5.87,5.88,5.92,5.95,6.01
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.08,1.08,1.08,1.10,1.10
MANOKWARI,0.00,2.71,3.81,3.93,4.29,4.22,4.15,4.27,4.36,4.10,4.05,4.09
KOTA SORONG,-0.19,0.59,0.42,0.52,0.66,0.66,0.67,0.66,0.66,0.88,1.01,1.01
MERAUKE,0.17,0.23,0.24,0.25,0.25,0.25,0.47,0.47,3.75,3.83,3.84,3.86
KOTA JAYAPURA,0.16,0.22,0.29,0.33,0.42,0.48,1.32,2.36,2.91,3.00,3.05,3.15
