Kota,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00
KOTA BANDA ACEH,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,5.75,0.00,0.00,0.00
KOTA SIBOLGA,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30
KOTA GUNUNGSITOLI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.08,0.00,0.00,0.00,-0.65,0.18,0.00,1.63,0.00,0.00
KOTA BUKITTINGGI,0.23,0.00,0.00,0.00,0.00,0.00,-1.04,0.47,0.68,0.00,0.00,0.20
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.29,2.81,0.00,0.00,0.00
KOTA PEKANBARU,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.46,0.00,0.00,0.00,0.00
KOTA DUMAI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.94,0.00,0.00,0.00
BUNGO,0.06,0.28,0.00,0.00,0.00,0.00,0.01,0.01,-0.12,0.00,0.00,0.00
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.00,-0.40,0.02,0.00,0.00,0.00,0.00
KOTA PALEMBANG,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00
KOTA LUBUKLINGGAU,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.03,0.00,1.90,0.00,0.00
KOTA BENGKULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.63,0.14,0.00,-0.33,0.00
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,0.00
KOTA METRO,0.76,0.56,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.14,0.00,0.00
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00
KOTA PANGKAL PINANG,-1.31,7.21,0.00,0.00,0.00,0.00,0.34,0.00,0.08,0.00,0.00,0.00
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.60,0.00,0.00,0.00
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,3.34,0.00,0.00,0.07
DKI JAKARTA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.43,0.00
KOTA BOGOR,0.07,0.00,0.00,0.00,0.00,0.00,2.60,0.00,1.07,0.00,0.01,0.00
KOTA SUKABUMI,0.23,0.00,0.00,0.00,0.00,0.00,0.44,1.29,0.00,0.00,0.00,0.00
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00
KOTA CIREBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00
KOTA BEKASI,0.22,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.03,0.17,1.52,0.00,0.00,0.00,0.00
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,3.08,0.00,0.00,0.00
CILACAP,-5.98,0.00,0.00,0.00,0.00,0.00,2.23,0.00,0.00,0.00,0.00,0.00
PURWOKERTO,-2.91,0.00,0.00,0.03,0.00,0.00,-0.55,0.00,0.00,0.05,0.00,0.01
KUDUS,-7.38,0.00,0.00,0.00,0.00,0.13,-1.18,0.95,-0.05,0.00,0.00,0.00
KOTA SURAKARTA,-3.59,0.04,0.03,0.18,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00
KOTA SEMARANG,-3.31,0.06,0.00,0.00,0.00,0.00,-0.14,0.03,0.58,0.00,0.00,0.00
KOTA TEGAL,-3.32,0.00,0.06,0.00,0.00,0.01,-1.19,1.70,0.00,0.00,0.00,0.08
KOTA YOGYAKARTA,0.00,0.06,0.00,0.00,0.00,0.00,0.00,-0.06,0.00,1.92,0.00,0.00
JEMBER,0.00,0.00,0.18,0.00,0.00,0.00,1.31,0.00,1.00,0.00,0.18,0.00
BANYUWANGI,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.32,0.00,0.00,0.00,0.00
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.50,0.22,0.00,0.00
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.34,0.08,0.03,0.00,0.00
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.00,0.40,1.15,0.00,0.00,0.00,0.00
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.21,2.49,0.00,0.00,1.67,0.00,0.00
KOTA MADIUN,0.00,0.00,0.00,0.00,0.00,0.80,0.76,0.00,0.00,0.00,0.00,0.00
KOTA SURABAYA,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.06,0.00,0.00,0.00
KOTA TANGERANG,0.06,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00
KOTA CILEGON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.56,0.00,0.00
KOTA SERANG,0.00,0.53,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00
SINGARAJA,0.00,0.00,0.00,0.00,0.00,-0.07,1.13,1.34,0.00,0.00,0.00,0.00
KOTA DENPASAR,0.27,0.00,0.00,0.00,0.00,0.00,1.42,-1.03,-0.04,0.00,0.00,0.00
KOTA MATARAM,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.01,0.00,0.00,0.00
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.79,0.00,0.00,0.00,0.00
WAINGAPU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00
MAUMERE,0.00,0.01,0.00,0.00,0.00,-0.08,-1.01,0.00,0.00,1.87,0.00,0.00
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00
SINTANG,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.00,0.00,0.00,0.00
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00
KOTA SINGKAWANG,0.94,0.00,0.00,0.00,0.00,0.00,-0.48,0.08,0.00,0.01,0.00,0.00
SAMPIT,0.00,0.04,0.00,0.00,0.00,0.00,-1.98,0.42,0.00,-0.03,0.00,0.00
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.00,1.90,-0.83,0.00,0.00,0.00,0.00
KOTA BARU,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00
KOTA BANJARMASIN,0.06,0.03,0.00,0.00,0.00,0.00,-0.62,-0.03,0.00,0.00,0.00,0.00
KOTA BALIKPAPAN,0.12,0.00,0.00,0.00,0.00,0.00,0.04,0.48,0.00,0.00,0.00,0.00
KOTA SAMARINDA,0.00,0.08,0.00,0.00,0.00,0.00,-1.15,0.00,0.44,0.00,0.00,0.00
TANJUNG SELOR,0.00,0.00,0.00,0.00,0.15,0.00,1.32,0.00,0.00,0.00,0.00,0.00
KOTA TARAKAN,0.61,0.01,0.00,0.00,0.00,0.00,0.41,0.00,0.01,0.00,0.00,0.00
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,10.69,0.00,0.00,0.00,0.00
KOTA KOTAMOBAGU,0.23,0.00,0.00,0.00,0.00,0.00,-0.33,0.00,0.00,0.00,-0.08,0.00
LUWUK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.13,0.01,0.12,0.00,0.00
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.07,2.72,0.00,0.00,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,-0.70,0.00,0.00,0.00
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.14,-6.02,0.00,0.00,0.00,0.09
KOTA PALOPO,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.43,0.00,0.00,0.00,0.00
KOTA BUA-BAU,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,0.00,0.00
KOTA GORONTALO,0.25,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.01,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,0.00,0.00,0.00,0.00
KOTA TUAL,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.31,0.00,0.00,0.00,0.00
MANOKWARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.18,0.00,0.00
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.23,0.07,0.00,0.00,0.00
MERAUKE,0.00,0.00,0.45,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00
TIMIKA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00
KOTA JAYAPURA,0.00,0.00,0.00,0.00,0.00,0.00,0.27,3.44,0.00,0.00,0.00,0.00
INDONESIA,-0.14,0.02,0.00,0.00,0.00,0.00,0.16,0.57,0.62,0.04,0.12,0.00
