Kota,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021
KOTA MATARAM,0.00,0.00,0.00,-5.86,0.00,0.00,0.00,-0.51,0.01,0.54,0.00,0.00
KOTA BIMA,0.00,0.00,0.00,-2.35,0.00,0.00,0.16,0.00,0.39,0.00,0.00,0.00
WAINGAPU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAUMERE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00
SINTANG,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.03,-0.06,0.29,0.26,0.00,0.00,0.00
KOTA SINGKAWANG,0.27,0.00,0.00,0.31,0.00,0.00,0.00,0.34,-0.44,0.00,0.00,0.00
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.05,2.05,2.20,0.00,0.00,0.00
KOTA PALANGKA RAYA,0.00,0.00,0.00,0.00,0.00,0.03,-0.07,0.00,0.00,0.04,0.00,0.00
KOTA BARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,-0.48,0.00,0.00,0.00,0.00,0.00
KOTA BANJARMASIN,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00
KOTA BALIKPAPAN,0.15,0.00,0.00,0.00,0.00,0.00,-0.01,1.19,0.00,0.00,0.00,0.00
KOTA SAMARINDA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.03,0.00,0.00,0.04
TANJUNG SELOR,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TARAKAN,0.21,0.00,0.00,0.00,0.00,0.00,0.34,0.21,0.00,0.00,0.00,0.00
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00
KOTA KOTAMOBAGU,0.00,0.01,0.00,0.00,0.00,0.00,0.22,0.07,0.00,0.00,0.00,0.18
LUWUK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.20
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.16,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.21,0.00,0.00,0.00
KOTA PARE-PARE,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00
KOTA PALOPO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.03,2.85,0.00,0.00,0.00
KOTA BUA-BAU,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.43,0.00,0.00
KOTA GORONTALO,0.28,0.00,0.00,0.00,0.00,0.00,2.11,0.00,0.00,0.00,0.00,0.06
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00
KOTA AMBON,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.17,-0.08,0.00,0.00,0.00
KOTA TUAL,0.00,-1.05,0.00,0.00,0.97,0.00,0.00,0.00,3.30,0.00,0.00,0.00
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANOKWARI,1.16,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.35,-0.40
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00
MERAUKE,0.00,0.10,1.08,-1.19,0.00,0.97,-0.05,0.00,0.87,0.41,0.00,0.00
TIMIKA,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
KOTA JAYAPURA,-1.07,0.00,0.00,0.00,0.00,0.00,-0.04,0.62,0.00,1.51,0.00,0.00
INDONESIA,0.04,0.00,0.01,0.01,0.01,0.03,0.18,1.20,0.10,0.02,0.00,0.00
