Kota,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022
KOTA TANJUNG PINANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,2.29,0.00,0.00,0.00
DKI JAKARTA,0.00,0.14,0.03,0.00,0.00,0.01,0.18,0.86,0.00,0.21,0.00,0.00
KOTA BOGOR,0.00,0.00,0.00,0.05,0.00,0.00,0.00,1.65,0.00,0.00,0.28,0.00
KOTA SUKABUMI,0.00,0.44,0.00,0.00,0.00,0.00,1.68,0.20,0.00,0.00,0.00,0.00
KOTA BANDUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00
KOTA CIREBON,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.73,0.00,0.01,0.00,0.00
KOTA BEKASI,0.13,0.00,0.00,0.00,0.00,0.00,0.00,4.43,0.39,0.00,0.00,0.00
KOTA DEPOK,0.00,0.00,0.00,0.00,0.00,0.00,0.51,5.08,0.00,0.00,0.00,0.00
KOTA TASIKMALAYA,0.00,0.00,0.00,0.00,0.00,0.00,0.46,3.01,0.07,0.00,0.00,0.00
CILACAP,0.00,0.00,-0.30,0.00,0.00,0.00,0.15,1.09,0.00,0.00,0.00,0.00
PURWOKERTO,0.08,0.04,0.00,0.00,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00
KUDUS,0.00,0.00,0.00,0.00,0.00,0.00,0.88,1.34,0.00,0.00,0.00,0.00
KOTA SURAKARTA,0.00,0.65,-0.21,0.03,0.00,0.00,1.69,0.20,0.58,0.00,0.00,0.00
KOTA SEMARANG,0.00,0.00,0.00,0.00,0.00,0.00,-1.21,0.12,0.21,0.00,0.00,0.00
KOTA TEGAL,0.01,0.49,0.01,0.07,0.00,0.16,1.82,0.00,0.46,0.00,0.16,0.00
KOTA YOGYAKARTA,0.03,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.37,2.38,0.00,0.00
JEMBER,0.00,0.00,0.00,0.00,0.11,0.00,2.60,0.00,0.00,0.00,0.00,0.00
BANYUWANGI,0.00,0.00,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,0.00,0.00
SUMENEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44,0.00,0.99,0.00,0.00
KOTA KEDIRI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.69,0.00,0.00,0.00,0.00
KOTA MALANG,0.00,0.00,0.00,0.00,0.00,0.05,2.09,1.45,0.00,0.00,0.00,0.00
KOTA PROBOLINGGO,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.07,0.00,7.42,0.00,0.00
KOTA MADIUN,0.00,0.16,0.08,0.00,0.00,0.00,0.36,0.10,0.00,0.00,0.00,0.00
KOTA SURABAYA,0.39,0.00,0.00,0.00,0.00,0.00,0.00,4.91,0.01,0.00,0.12,0.02
KOTA TANGERANG,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA CILEGON,1.66,0.00,0.00,0.00,0.00,0.00,1.69,0.72,2.66,0.00,0.28,0.00
KOTA SERANG,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
SINGARAJA,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,0.00,0.00,0.00,0.00,0.00
KOTA DENPASAR,0.75,0.00,0.00,0.13,0.40,0.00,1.86,0.46,0.00,0.00,0.00,0.00
KOTA MATARAM,0.01,1.29,0.00,0.00,0.00,0.11,1.13,0.00,0.32,0.00,0.00,0.00
KOTA BIMA,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.39,0.00,0.25,0.00
WAINGAPU,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
MAUMERE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA KUPANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,1.39,0.00,0.00
SINTANG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.08,0.03,0.00,0.00,0.00
KOTA SINGKAWANG,0.00,0.00,-0.50,0.00,0.00,0.00,0.83,1.61,0.00,0.00,0.00,0.00
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.96,0.05,0.00,0.00,0.00
KOTA PALANGKA RAYA,0.70,0.96,0.00,0.00,0.00,0.06,0.73,0.00,0.46,0.00,0.00,0.00
KOTA BARU,0.00,0.00,0.95,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.00,0.00,0.00,0.00
KOTA BANJARMASIN,0.92,0.00,0.00,0.00,0.00,0.00,2.59,1.17,0.49,0.00,0.00,0.00
KOTA BALIKPAPAN,0.00,0.00,0.00,0.00,0.00,0.23,2.96,0.50,0.65,0.00,0.00,0.00
KOTA SAMARINDA,0.04,0.08,-0.70,0.05,0.00,0.00,0.14,0.77,0.00,0.00,0.00,0.00
TANJUNG SELOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA TARAKAN,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA KOTAMOBAGU,0.00,0.56,0.00,0.00,0.10,0.07,1.20,2.03,0.89,0.00,0.00,0.00
LUWUK,0.00,0.00,-0.08,0.15,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.22
KOTA PALU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.36,0.00,0.00
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,1.28,0.00,0.00,0.00
KOTA PARE-PARE,0.12,0.00,0.00,0.00,0.00,0.00,0.54,0.19,12.70,0.00,0.00,0.00
KOTA PALOPO,0.00,0.04,0.00,0.00,0.00,0.00,3.21,0.00,0.00,0.10,0.00,0.00
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,3.97,4.94,0.00,0.00,0.00,0.00
KOTA BUA-BAU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
KOTA GORONTALO,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.00,0.00,0.00
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00
KOTA AMBON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.24,0.00,0.00,0.00
KOTA TUAL,0.00,0.00,0.00,0.00,0.54,-0.30,0.00,0.00,0.00,0.00,0.00,0.25
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANOKWARI,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.60,0.00,0.00,0.00
KOTA SORONG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00
MERAUKE,0.00,0.00,0.79,0.00,0.00,-0.07,0.02,0.00,1.56,0.00,0.00,0.00
TIMIKA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA JAYAPURA,0.00,0.00,0.00,0.00,0.00,0.00,2.07,0.00,10.34,0.00,0.00,0.00
INDONESIA,0.08,0.07,0.01,0.00,0.01,0.01,0.34,1.85,0.21,0.15,0.02,0.01
