Kota,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022
KOTA MEULABOH,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA BANDA ACEH,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.04,0.00,0.00,0.00
KOTA LHOKSEUMAWE,0.00,0.00,0.00,0.00,0.00,0.73,0.27,0.10,0.03,0.00,0.00,0.00
KOTA SIBOLGA,0.00,0.00,0.00,0.92,0.00,0.91,0.00,0.61,0.00,0.00,0.00,0.00
KOTA PEMATANG SIANTAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.05
KOTA MEDAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.00,0.00
KOTA PADANGSIDIMPUAN,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.86,0.00,0.00,0.00,0.00
KOTA GUNUNGSITOLI,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.97,0.00,0.00,0.00,0.00
KOTA PADANG,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.20,0.00,0.00,0.00,0.00
KOTA BUKITTINGGI,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.19,0.00,1.58,0.00,0.00
TEMBILAHAN,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.16
KOTA PEKANBARU,0.04,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KOTA DUMAI,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.72,0.72,0.00,0.00,0.00
BUNGO,0.13,0.00,0.00,0.00,0.00,0.14,0.06,0.32,0.31,0.00,0.00,0.00
KOTA JAMBI,0.00,0.00,0.00,0.00,0.00,0.16,0.38,0.00,0.00,0.00,0.00,0.00
KOTA PALEMBANG,0.08,0.71,0.00,0.00,0.00,0.00,0.48,0.00,0.00,2.67,0.00,0.00
KOTA LUBUKLINGGAU,0.03,0.00,0.00,0.00,0.00,0.00,0.52,0.38,0.00,0.62,0.09,0.00
KOTA BENGKULU,-0.01,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.04,0.00
KOTA BANDAR LAMPUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.80,9.40,0.00,0.00,0.00,0.00
KOTA METRO,0.00,0.00,0.00,0.00,0.13,0.00,0.00,1.13,0.00,0.00,0.00,0.00
TANJUNG PANDAN,0.00,0.00,0.00,0.00,0.00,0.00,2.14,0.79,1.17,0.00,0.00,0.00
KOTA PANGKAL PINANG,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
KOTA BATAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,1.39,0.00,0.00,0.00
