Kota,01/01/2023,01/02/2023,01/03/2023,01/04/2023,01/05/2023,01/06/2023,01/07/2023,01/08/2023,01/09/2023,01/10/2023,01/11/2023,01/12/2023
SINTANG,0.40,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,2.69,,
KOTA PONTIANAK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.18,0.00,0.00,,
KOTA SINGKAWANG,0.04,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
SAMPIT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA PALANGKA RAYA,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA BARU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
TANJUNG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA BANJARMASIN,16.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,,
KOTA BALIKPAPAN,0.38,3.29,0.00,0.00,0.00,0.30,0.00,1.05,0.00,0.00,,
KOTA SAMARINDA,0.40,0.00,0.00,0.46,0.91,0.00,0.00,0.00,0.00,0.00,,
TANJUNG SELOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA TARAKAN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA MANADO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,,
KOTA KOTAMOBAGU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
LUWUK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA PALU,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,,
BULUKUMBA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
WATAMPONE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA MAKASSAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,1.90,,
KOTA PARE-PARE,0.00,0.00,4.07,0.00,0.00,0.00,6.07,0.00,0.00,0.00,,
KOTA PALOPO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA KENDARI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,,
KOTA BUA-BAU,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,,
KOTA GORONTALO,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
MAMUJU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA AMBON,0.99,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,,
KOTA TUAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA TERNATE,0.00,0.00,0.00,0.00,0.00,0.00,8.34,0.00,0.00,0.00,,
MANOKWARI,4.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA SORONG,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
MERAUKE,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,,
TIMIKA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
KOTA JAYAPURA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
INDONESIA,0.92,0.25,0.03,0.01,0.03,0.03,0.83,0.16,0.27,0.52,,
